checkpoint_time,wait_time,vehicles_in_queue
2024-04-03 15:33:33,1455840,4079
2024-04-03 16:02:17,1457640,4086
2024-04-03 17:01:54,1465560,4105
2024-04-03 18:02:03,1463400,4096
2024-04-03 19:02:02,1460520,4088
2024-04-03 20:02:15,1455480,4077
2024-04-03 21:02:04,1452600,4069
2024-04-03 22:02:10,1203600,4053
2024-04-03 23:02:16,1204800,4053
2024-04-04 01:23:49,1195800,4025
2024-04-04 02:08:59,1192500,4008
2024-04-04 03:02:11,1187700,4000
2024-04-04 04:02:29,1188900,4000
2024-04-04 05:02:08,1189800,4003
2024-04-04 06:02:17,1191600,4004
2024-04-04 07:02:13,1193400,4008
2024-04-04 08:02:04,1197300,4022
2024-04-04 09:02:19,1204800,4046
2024-04-04 10:02:18,1208400,4049
2024-04-04 11:01:50,1214700,4074
2024-04-04 12:02:49,1224000,4105
2024-04-04 13:02:34,1235700,4132
2024-04-04 14:03:01,1243800,4164
2024-04-04 15:01:55,1253700,4199
2024-04-04 16:02:02,1261800,4218
2024-04-04 17:02:04,1267500,4238
2024-04-04 18:02:15,1269900,4252
2024-04-04 19:02:13,1266900,4247
2024-04-04 20:01:59,1263300,4240
2024-04-04 21:02:07,1259400,4230
2024-04-04 22:01:54,1258500,4226
2024-04-04 23:02:02,1504800,4208
2024-04-05 00:06:50,1504800,4210
2024-04-05 01:23:03,1506240,4210
2024-04-05 02:08:13,1506600,4209
2024-04-05 03:02:11,1506960,4205
2024-04-05 04:02:07,1506960,4207
2024-04-05 05:02:05,1507680,4208
2024-04-05 06:02:13,1504080,4195
2024-04-05 07:01:59,1500480,4187
2024-04-05 08:02:15,1502640,4192
2024-04-05 09:01:55,1501200,4186
2024-04-05 10:02:05,1507320,4204
2024-04-05 11:02:03,1508760,4208
2024-04-05 12:02:54,1510200,4214
2024-04-05 13:02:09,1521000,4248
2024-04-05 14:02:18,1529280,4270
2024-04-05 15:01:56,1532520,4279
2024-04-05 16:03:03,1538280,4292
2024-04-05 17:02:20,1547640,4317
2024-04-05 18:02:21,1547280,4318
2024-04-05 19:02:28,1544400,4314
2024-04-05 20:03:05,1538280,4298
2024-04-05 21:02:52,1527480,4276
2024-04-05 22:02:07,1530720,4285
2024-04-05 23:01:59,1523520,4267
2024-04-06 00:06:03,1519200,4256
2024-04-06 01:22:08,1517760,4249
