checkpoint_time,wait_time,vehicles_in_queue
2025-06-11 07:02:22,0,10
2025-06-11 08:03:04,1680,12
2025-06-11 09:02:50,0,10
2025-06-11 10:02:30,0,10
2025-06-11 11:02:19,0,7
2025-06-11 12:03:45,14280,23
2025-06-11 13:12:00,16800,26
2025-06-11 14:02:14,13440,28
2025-06-11 15:02:20,15960,33
2025-06-11 16:02:34,12600,31
2025-06-11 17:02:15,13440,32
2025-06-11 18:03:01,13440,29
2025-06-11 19:02:07,9240,26
2025-06-11 20:02:02,2520,18
2025-06-11 21:02:24,1680,16
2025-06-11 22:02:05,840,17
2025-06-11 23:02:03,1680,18
2025-06-12 00:09:32,0,14
2025-06-12 01:29:58,0,14
2025-06-12 02:32:08,0,13
2025-06-12 03:22:46,0,10
2025-06-12 04:06:30,840,9
2025-06-12 05:02:25,0,8
2025-06-12 06:03:14,0,8
2025-06-12 07:02:25,0,10
2025-06-12 08:03:07,0,7
2025-06-12 09:02:28,0,13
2025-06-12 10:02:28,1680,15
2025-06-12 11:02:10,2520,16
2025-06-12 12:03:49,5040,20
2025-06-12 13:11:41,9240,25
2025-06-12 14:02:11,13440,30
2025-06-12 15:02:25,11760,28
2025-06-12 16:02:39,8400,23
2025-06-12 17:02:26,10080,25
2025-06-12 18:03:03,5040,20
2025-06-12 19:02:07,5040,20
2025-06-12 20:02:29,840,12
2025-06-12 21:02:31,0,8
2025-06-12 22:02:14,0,7
2025-06-12 23:02:20,840,6
2025-06-13 00:09:30,2520,6
2025-06-13 01:30:07,0,5
2025-06-13 02:32:25,0,5
2025-06-13 03:23:57,0,2
2025-06-13 04:06:44,0,3
2025-06-13 05:02:21,0,5
2025-06-13 06:03:06,0,2
2025-06-13 07:02:19,0,1
2025-06-13 08:02:58,0,4
2025-06-13 09:02:33,0,1
2025-06-13 10:02:32,0,2
2025-06-13 11:02:15,0,4
2025-06-13 12:03:28,0,5
2025-06-13 13:11:02,0,2
