checkpoint_time,wait_time,vehicles_in_queue
2025-06-11 07:02:22,130200,332
2025-06-11 08:03:04,125580,322
2025-06-11 09:02:50,124740,321
2025-06-11 10:02:30,122220,315
2025-06-11 11:02:19,118020,302
2025-06-11 12:03:45,118020,303
2025-06-11 13:12:00,118860,305
2025-06-11 14:02:14,115080,297
2025-06-11 15:02:20,115080,298
2025-06-11 16:02:34,113820,295
2025-06-11 17:02:15,117180,302
2025-06-11 18:03:01,112560,291
2025-06-11 19:02:07,111300,289
2025-06-11 20:02:02,105840,279
2025-06-11 21:02:24,102060,276
2025-06-11 22:02:05,94920,263
2025-06-11 23:02:03,95340,263
2025-06-12 00:09:32,88620,246
2025-06-12 01:29:58,89880,246
2025-06-12 02:32:08,90300,239
2025-06-12 03:22:46,81900,225
2025-06-12 04:06:30,83580,226
2025-06-12 05:02:25,83580,224
2025-06-12 06:03:14,80220,213
2025-06-12 07:02:25,76440,203
2025-06-12 08:03:07,73920,198
2025-06-12 09:02:28,74760,201
2025-06-12 10:02:28,73920,200
2025-06-12 11:02:10,74760,203
2025-06-12 12:03:49,68460,191
2025-06-12 13:11:41,63000,178
2025-06-12 14:02:11,63420,179
2025-06-12 15:02:25,61320,175
2025-06-12 16:02:39,67200,187
2025-06-12 17:02:26,73920,202
2025-06-12 18:03:03,70980,193
2025-06-12 19:02:07,68040,191
2025-06-12 20:02:29,65100,183
2025-06-12 21:02:31,60480,173
2025-06-12 22:02:14,53340,162
2025-06-12 23:02:20,49980,154
2025-06-13 00:09:30,51240,154
2025-06-13 01:30:07,45780,135
2025-06-13 02:32:25,42000,132
2025-06-13 03:23:57,39060,121
2025-06-13 04:06:44,38640,121
2025-06-13 05:02:21,38640,121
2025-06-13 06:03:06,32760,109
2025-06-13 07:02:19,26460,97
2025-06-13 08:02:58,24780,89
2025-06-13 09:02:33,17220,73
2025-06-13 10:02:32,13020,66
2025-06-13 11:02:15,12600,65
2025-06-13 12:03:28,2100,44
2025-06-13 13:11:02,840,37
2025-06-13 14:02:22,0,34
2025-06-13 15:02:29,0,28
2025-06-13 16:02:22,2520,34
2025-06-13 17:02:03,8400,49
2025-06-13 18:02:57,6300,66
2025-06-13 19:02:10,0,53
2025-06-13 20:02:39,0,54
2025-06-13 21:02:08,0,60
2025-06-13 22:02:10,6300,70
2025-06-13 23:02:14,0,65
2025-06-14 00:09:11,0,59
2025-06-14 01:29:59,0,58
2025-06-14 02:31:12,840,57
2025-06-14 03:20:42,0,61
2025-06-14 04:03:48,2100,61
2025-06-14 05:02:17,8400,71
2025-06-14 06:03:00,13440,80
2025-06-14 07:02:14,12180,76
2025-06-14 08:02:43,14280,80
2025-06-14 09:02:07,13860,74
2025-06-14 10:02:16,15960,79
2025-06-14 11:02:03,11340,67
2025-06-14 12:03:05,11760,67
2025-06-14 13:08:09,7980,59
2025-06-14 14:02:03,10920,55
2025-06-14 15:02:13,16800,65
2025-06-14 16:02:20,8820,58
2025-06-14 17:01:59,13020,72
2025-06-14 18:02:26,13440,85
2025-06-14 19:01:52,9240,86
2025-06-14 20:02:21,6300,87
2025-06-14 21:02:07,0,125
2025-06-14 22:02:06,1680,148
2025-06-14 23:02:15,420,147
2025-06-15 00:10:34,420,155
2025-06-15 01:30:25,840,174
2025-06-15 02:38:36,12600,182
2025-06-15 03:28:07,13860,216
2025-06-15 04:08:33,18060,253
2025-06-15 05:02:21,61320,335
2025-06-15 06:02:56,91560,395
2025-06-15 07:02:15,131460,451
2025-06-15 08:02:42,145740,454
2025-06-15 09:02:21,151200,456
2025-06-15 10:02:08,159180,462
2025-06-15 11:02:07,163800,460
2025-06-15 12:03:18,167160,454
2025-06-15 13:08:19,169680,443
2025-06-15 14:01:56,175140,442
2025-06-15 15:02:12,172200,431
2025-06-15 16:02:14,172620,429
2025-06-15 17:02:07,173040,430
2025-06-15 18:02:37,168000,420
2025-06-15 19:02:04,163800,410
2025-06-15 20:02:18,157080,392
2025-06-15 21:02:08,151200,382
2025-06-15 22:02:10,149100,378
2025-06-15 23:02:14,143640,365
2025-06-16 00:09:58,138180,353
2025-06-16 01:30:33,138600,353
2025-06-16 02:34:58,132300,338
2025-06-16 03:27:02,131880,338
2025-06-16 04:09:42,132720,339
2025-06-16 05:03:31,133980,342
2025-06-16 06:03:26,133560,340
2025-06-16 07:03:02,132300,336
2025-06-16 08:03:03,128520,326
2025-06-16 09:03:13,128100,326
2025-06-16 10:02:32,128940,327
2025-06-16 11:02:09,131460,333
2025-06-16 12:03:55,130620,331
2025-06-16 13:12:22,133140,335
2025-06-16 14:02:24,129360,329
2025-06-16 15:02:36,127680,324
2025-06-16 16:02:33,129360,331
2025-06-16 17:02:37,130620,335
2025-06-16 18:02:57,127260,325
2025-06-16 19:02:03,121800,318
2025-06-16 20:02:27,120540,315
2025-06-16 21:02:20,119700,314
2025-06-16 22:02:17,116760,306
2025-06-16 23:02:15,112140,296
2025-06-17 00:09:32,112560,285
2025-06-17 01:30:08,102480,273
2025-06-17 02:32:52,99960,264
2025-06-17 03:23:58,96180,255
2025-06-17 04:07:23,97020,255
2025-06-17 05:02:19,97860,255
2025-06-17 06:03:02,94080,246
2025-06-17 07:02:34,90300,240
2025-06-17 08:03:05,85680,231
2025-06-17 09:03:15,85680,231
2025-06-17 10:02:22,89460,242
2025-06-17 11:02:21,81900,226
2025-06-17 12:03:27,81900,224
2025-06-17 13:12:16,84840,230
2025-06-17 14:02:25,81060,223
2025-06-17 15:02:25,83580,228
2025-06-17 16:02:33,86520,235
2025-06-17 17:02:53,86940,236
2025-06-17 18:03:06,82740,224
2025-06-17 19:02:08,80640,220
2025-06-17 20:02:37,76860,211
2025-06-17 21:02:21,71400,200
2025-06-17 22:02:18,72660,202
2025-06-17 23:02:08,68880,192
2025-06-18 00:09:19,65100,182
2025-06-18 01:29:59,65940,182
2025-06-18 02:32:17,57960,165
2025-06-18 03:23:23,57960,162
2025-06-18 04:07:19,57960,162
2025-06-18 05:02:49,58380,165
2025-06-18 06:03:08,52080,150
2025-06-18 07:02:51,48720,145
2025-06-18 08:03:04,44940,137
2025-06-18 09:02:48,47460,141
2025-06-18 10:02:16,42840,131
2025-06-18 11:02:15,43680,133
2025-06-18 12:03:58,43260,133
2025-06-18 13:12:10,42000,128
2025-06-18 14:02:29,43680,134
2025-06-18 15:02:20,44100,136
2025-06-18 16:03:00,47040,140
2025-06-18 17:03:42,50820,146
2025-06-18 18:02:59,48300,142
2025-06-18 19:02:06,42840,129
2025-06-18 20:02:24,45780,136
2025-06-18 21:02:05,44100,132
2025-06-18 22:02:06,44520,129
2025-06-18 23:02:14,37800,121
2025-06-19 00:09:39,29400,103
2025-06-19 01:30:01,29820,104
2025-06-19 02:32:58,21420,84
2025-06-19 03:23:33,17220,74
2025-06-19 04:07:09,13440,72
2025-06-19 05:02:24,15540,72
2025-06-19 06:03:05,12600,67
2025-06-19 07:02:43,18480,59
2025-06-19 08:03:07,8400,48
2025-06-19 09:02:30,5040,38
2025-06-19 10:02:22,4620,40
2025-06-19 11:02:22,0,22
2025-06-19 12:03:34,1260,21
2025-06-19 13:11:08,1260,20
2025-06-19 14:02:14,0,16
2025-06-19 15:02:17,0,8
