checkpoint_time,wait_time,vehicles_in_queue
2024-12-01 09:02:04,86321,0
2024-12-01 10:02:11,85482,2
2024-12-01 11:02:11,81883,2
2024-12-01 12:05:26,79480,3
2024-12-01 13:06:57,77141,4
2024-12-01 14:02:00,73841,4
2024-12-01 15:02:22,70180,4
2024-12-01 16:02:23,66583,4
2024-12-01 17:02:03,63051,4
2024-12-01 18:02:32,58002,3
2024-12-01 19:02:04,54464,3
2024-12-01 20:02:19,50804,3
2024-12-01 21:02:05,47261,3
2024-12-01 22:02:14,43605,3
2024-12-01 23:02:09,40012,3
2024-12-02 00:08:59,36045,3
2024-12-02 01:29:48,31184,3
2024-12-02 02:29:40,27577,3
2024-12-02 03:16:51,24765,3
2024-12-02 04:02:35,22006,3
2024-12-02 05:02:22,18405,3
2024-12-02 06:03:06,14800,3
2024-12-02 07:02:27,11203,3
2024-12-02 08:03:07,7601,3
2024-12-02 09:02:31,0,3
2024-12-02 10:02:32,0,2
2024-12-02 11:02:12,0,1
2024-12-02 12:03:30,0,2
2024-12-02 13:09:30,0,1
2024-12-02 14:02:23,0,3
2024-12-02 15:02:26,0,2
2024-12-02 16:02:33,0,2
2024-12-02 17:02:19,0,2
2024-12-02 18:02:37,0,2
2024-12-02 19:02:05,0,2
2024-12-02 20:02:31,0,0
2024-12-02 21:02:13,0,0
2024-12-02 22:02:22,0,0
2024-12-02 23:03:26,0,0
2024-12-03 00:09:55,0,0
2024-12-03 01:29:37,0,0
2024-12-03 02:29:19,0,0
2024-12-03 03:16:55,0,0
2024-12-03 04:02:28,0,0
2024-12-03 05:02:25,0,0
2024-12-03 06:03:07,0,0
2024-12-03 07:02:17,0,0
2024-12-03 08:02:48,0,0
2024-12-03 09:02:18,0,0
2024-12-03 10:02:31,0,0
2024-12-03 11:02:14,0,1
2024-12-03 12:03:28,0,3
2024-12-03 13:08:54,0,2
2024-12-03 14:02:22,0,2
2024-12-03 15:02:22,0,2
2024-12-03 16:02:28,0,1
2024-12-03 17:02:25,0,1
2024-12-03 18:02:36,0,0
2024-12-03 19:02:12,0,0
2024-12-03 20:02:36,0,0
2024-12-03 21:02:08,0,0
2024-12-03 22:02:18,0,0
2024-12-03 23:02:16,0,0
2024-12-04 00:08:47,0,0
2024-12-04 01:29:38,0,0
2024-12-04 02:29:03,0,0
2024-12-04 03:15:34,0,0
2024-12-04 04:02:38,0,0
2024-12-04 05:02:29,0,0
2024-12-04 06:03:14,0,0
2024-12-04 07:02:29,0,0
2024-12-04 08:02:43,0,1
2024-12-04 09:02:27,0,3
2024-12-04 10:02:34,0,1
2024-12-04 11:02:24,0,1
2024-12-04 12:03:30,0,1
2024-12-04 13:08:59,0,0
2024-12-04 14:02:31,0,1
2024-12-04 15:02:28,0,0
2024-12-04 16:03:14,0,1
2024-12-04 17:02:26,0,0
2024-12-04 18:02:48,0,1
2024-12-04 19:02:53,0,0
2024-12-04 20:02:32,0,0
2024-12-04 21:02:17,0,0
2024-12-04 22:02:21,0,1
2024-12-04 23:02:12,0,1
2024-12-05 00:08:50,0,1
2024-12-05 01:29:47,0,1
2024-12-05 02:29:18,0,1
2024-12-05 03:16:03,0,1
2024-12-05 04:02:43,0,1
2024-12-05 05:02:28,0,1
2024-12-05 06:03:05,0,0
2024-12-05 07:02:19,0,0
2024-12-05 08:02:48,0,0
2024-12-05 09:02:39,0,0
2024-12-05 10:02:27,0,0
2024-12-05 11:02:11,0,0
2024-12-05 12:03:25,0,0
2024-12-05 13:09:07,0,2
2024-12-05 14:02:13,0,0
2024-12-05 15:02:29,0,2
2024-12-05 16:02:35,0,1
2024-12-05 17:02:15,0,1
2024-12-05 18:02:43,0,1
2024-12-05 19:01:56,0,0
2024-12-05 20:03:17,0,0
2024-12-05 21:02:21,0,0
2024-12-05 22:02:13,0,0
2024-12-05 23:02:19,0,0
2024-12-06 00:08:52,0,0
2024-12-06 01:29:35,0,0
2024-12-06 02:28:51,0,1
2024-12-06 03:15:34,0,0
2024-12-06 04:02:32,0,0
2024-12-06 05:02:12,0,0
2024-12-06 06:03:02,0,0
2024-12-06 07:02:25,0,0
2024-12-06 08:02:44,0,0
2024-12-06 09:02:24,0,0
2024-12-06 10:02:30,0,0
2024-12-06 11:02:18,0,0
2024-12-06 12:03:16,0,0
2024-12-06 13:08:41,0,0
2024-12-06 14:02:16,0,0
2024-12-06 15:02:20,0,1
2024-12-06 16:02:30,0,0
2024-12-06 17:02:17,0,1
2024-12-06 18:02:48,0,0
2024-12-06 19:02:18,0,1
2024-12-06 20:02:19,0,0
2024-12-06 21:02:19,0,0
2024-12-06 22:02:16,0,0
2024-12-06 23:02:14,0,0
2024-12-07 00:08:48,0,0
2024-12-07 01:29:29,0,0
2024-12-07 02:28:17,0,0
2024-12-07 03:14:45,0,0
2024-12-07 04:02:33,0,0
2024-12-07 05:02:23,0,0
2024-12-07 06:02:41,0,0
2024-12-07 07:02:25,0,0
2024-12-07 08:02:25,0,1
2024-12-07 09:02:10,0,2
2024-12-07 10:02:13,0,3
2024-12-07 11:02:06,0,0
2024-12-07 12:03:00,0,1
2024-12-07 13:06:26,0,0
2024-12-07 14:02:13,0,3
2024-12-07 15:02:03,0,2
2024-12-07 16:02:20,0,1
2024-12-07 17:02:03,0,4
2024-12-07 18:02:30,0,4
2024-12-07 19:02:00,0,3
2024-12-07 20:02:13,0,0
2024-12-07 21:02:03,1440,3
2024-12-07 22:02:11,1440,3
2024-12-07 23:02:06,0,3
2024-12-08 00:09:29,0,2
2024-12-08 01:29:58,0,2
2024-12-08 02:30:59,0,2
2024-12-08 03:16:56,0,2
2024-12-08 04:02:26,0,2
2024-12-08 05:02:12,0,2
2024-12-08 06:02:52,0,2
2024-12-08 07:02:13,0,0
2024-12-08 08:02:34,0,2
2024-12-08 09:02:11,0,2
2024-12-08 10:02:12,0,5
