checkpoint_time,wait_time,vehicles_in_queue
2025-03-25 09:02:23,0,4
2025-03-25 10:02:25,0,0
2025-03-25 11:02:05,0,0
2025-03-25 12:03:26,0,0
2025-03-25 13:08:06,0,0
2025-03-25 14:02:27,0,2
2025-03-25 15:02:18,0,0
2025-03-25 16:02:39,0,5
2025-03-25 17:02:18,360,6
2025-03-25 18:02:53,0,4
2025-03-25 19:02:07,0,6
2025-03-25 20:02:31,0,5
2025-03-25 21:02:09,0,4
2025-03-25 22:02:09,0,2
2025-03-25 23:02:10,0,2
2025-03-26 00:08:43,0,1
2025-03-26 01:29:30,0,1
2025-03-26 02:27:55,0,1
2025-03-26 03:12:22,0,1
2025-03-26 04:02:52,0,1
2025-03-26 05:02:17,0,1
2025-03-26 06:02:54,360,6
2025-03-26 07:02:25,0,5
2025-03-26 08:02:51,360,4
2025-03-26 09:02:25,0,1
2025-03-26 10:02:23,0,2
2025-03-26 11:02:08,0,2
2025-03-26 12:03:20,0,3
2025-03-26 13:08:43,0,1
2025-03-26 14:02:31,0,2
2025-03-26 15:02:35,0,3
2025-03-26 16:02:57,0,5
2025-03-26 17:02:20,360,6
2025-03-26 18:03:09,360,7
2025-03-26 19:02:13,1080,9
2025-03-26 20:02:18,2160,12
2025-03-26 21:02:09,4320,17
2025-03-26 22:02:01,4320,17
2025-03-26 23:02:17,4680,18
2025-03-27 00:08:32,720,8
2025-03-27 01:29:36,0,2
2025-03-27 02:28:21,0,1
2025-03-27 03:13:14,0,4
2025-03-27 04:02:30,0,5
2025-03-27 05:02:19,0,2
2025-03-27 06:02:56,0,1
2025-03-27 07:02:21,0,1
2025-03-27 08:02:37,0,2
2025-03-27 09:02:27,0,5
2025-03-27 10:02:25,720,8
2025-03-27 11:02:12,0,4
2025-03-27 12:03:22,0,3
2025-03-27 13:08:13,0,1
2025-03-27 14:02:13,0,3
2025-03-27 15:02:21,0,4
2025-03-27 16:02:32,0,2
2025-03-27 17:02:13,0,2
2025-03-27 18:02:33,0,2
2025-03-27 19:02:06,0,1
2025-03-27 20:02:11,0,2
2025-03-27 21:02:22,360,3
2025-03-27 22:02:02,0,4
2025-03-27 23:02:15,0,1
2025-03-28 00:08:29,0,1
2025-03-28 01:29:28,0,1
2025-03-28 02:28:27,0,0
2025-03-28 03:14:14,0,0
2025-03-28 04:02:22,0,0
2025-03-28 05:02:19,0,1
2025-03-28 06:03:04,0,2
2025-03-28 07:02:13,0,1
2025-03-28 08:02:50,0,0
2025-03-28 09:02:14,0,1
2025-03-28 10:02:15,0,1
2025-03-28 11:02:04,0,1
2025-03-28 12:03:13,0,2
2025-03-28 13:07:54,0,1
2025-03-28 14:02:14,0,2
2025-03-28 15:02:23,0,1
2025-03-28 16:02:20,0,1
2025-03-28 17:02:11,0,2
2025-03-28 18:03:11,0,1
2025-03-28 19:02:03,0,3
2025-03-28 20:02:23,0,1
2025-03-28 21:02:04,0,0
2025-03-28 22:02:11,0,0
2025-03-28 23:02:10,0,0
2025-03-29 00:08:27,0,1
2025-03-29 01:29:25,0,4
2025-03-29 02:27:13,360,4
2025-03-29 03:11:33,0,1
2025-03-29 04:02:27,0,1
2025-03-29 05:02:03,0,0
2025-03-29 06:02:31,0,2
2025-03-29 07:02:09,0,2
2025-03-29 08:02:15,0,1
2025-03-29 09:02:08,0,0
2025-03-29 10:02:11,0,0
2025-03-29 11:02:03,0,1
2025-03-29 12:02:59,0,1
2025-03-29 13:05:54,0,3
2025-03-29 14:01:54,0,2
2025-03-29 15:02:08,0,2
2025-03-29 16:02:12,360,6
2025-03-29 17:02:07,360,6
2025-03-29 18:02:30,0,4
2025-03-29 19:02:11,720,6
2025-03-29 20:01:59,0,4
2025-03-29 21:02:01,0,4
2025-03-29 22:02:03,0,2
2025-03-29 23:02:12,0,3
2025-03-30 00:09:17,0,2
2025-03-30 01:29:39,0,4
2025-03-30 02:30:41,0,2
2025-03-30 03:17:17,0,3
2025-03-30 04:02:17,0,0
2025-03-30 05:02:15,0,0
2025-03-30 06:02:30,720,8
2025-03-30 07:02:15,1440,10
2025-03-30 08:02:27,4320,16
2025-03-30 09:02:12,2160,13
