checkpoint_time,wait_time,vehicles_in_queue
2024-04-03 15:33:33,2520,16
2024-04-03 16:02:17,3780,17
2024-04-03 17:01:54,8820,16
2024-04-03 18:02:03,0,14
2024-04-03 19:02:02,1260,12
2024-04-03 20:02:15,5040,15
2024-04-03 21:02:04,0,10
2024-04-03 22:02:10,0,7
2024-04-03 23:02:16,0,3
2024-04-04 01:23:49,0,1
2024-04-04 02:08:59,0,2
2024-04-04 03:02:11,0,0
2024-04-04 04:02:29,0,1
2024-04-04 05:02:08,0,3
2024-04-04 06:02:17,0,8
2024-04-04 07:02:13,2520,14
2024-04-04 08:02:04,0,15
2024-04-04 09:02:19,0,17
2024-04-04 10:02:18,1260,21
2024-04-04 11:01:50,2520,23
2024-04-04 12:02:49,3780,24
2024-04-04 13:02:34,5040,25
2024-04-04 14:03:01,18900,34
2024-04-04 15:01:55,13860,34
2024-04-04 16:02:02,17640,37
2024-04-04 17:02:04,25200,44
2024-04-04 18:02:15,34020,53
2024-04-04 19:02:13,31500,50
2024-04-04 20:01:59,20160,45
2024-04-04 21:02:07,18900,44
2024-04-04 22:01:54,12600,38
2024-04-04 23:02:02,12600,35
2024-04-05 00:06:50,15120,33
2024-04-05 01:23:03,8820,27
2024-04-05 02:08:13,2520,23
