checkpoint_time,wait_time,vehicles_in_queue
2025-03-25 08:02:46,1380,16
2025-03-25 09:02:23,0,12
2025-03-25 10:02:25,6900,14
2025-03-25 11:02:05,1380,5
2025-03-25 12:03:26,8280,10
2025-03-25 13:08:06,0,7
2025-03-25 14:02:27,0,7
2025-03-25 15:02:18,0,9
2025-03-25 16:02:39,0,4
2025-03-25 17:02:18,0,5
2025-03-25 18:02:53,0,2
2025-03-25 19:02:07,0,6
2025-03-25 20:02:31,0,7
2025-03-25 21:02:09,0,4
2025-03-25 22:02:09,0,2
2025-03-25 23:02:10,0,2
2025-03-26 00:08:43,0,2
2025-03-26 01:29:30,1380,3
2025-03-26 02:27:55,2760,4
2025-03-26 03:12:22,2760,4
2025-03-26 04:02:52,4140,5
2025-03-26 05:02:17,12420,9
2025-03-26 06:02:54,0,10
2025-03-26 07:02:25,0,3
2025-03-26 08:02:51,0,4
2025-03-26 09:02:25,0,2
2025-03-26 10:02:23,0,5
2025-03-26 11:02:08,0,3
2025-03-26 12:03:20,0,5
2025-03-26 13:08:43,3120,10
2025-03-26 14:02:31,0,2
2025-03-26 15:02:35,0,3
2025-03-26 16:02:57,0,3
2025-03-26 17:02:20,0,3
2025-03-26 18:03:09,0,2
2025-03-26 19:02:13,0,4
2025-03-26 20:02:18,0,6
2025-03-26 21:02:09,0,13
2025-03-26 22:02:01,0,8
2025-03-26 23:02:17,0,9
2025-03-27 00:08:32,0,0
2025-03-27 01:29:36,0,0
