checkpoint_time,wait_time,vehicles_in_queue
2025-06-11 07:02:22,0,0
2025-06-11 08:03:04,0,0
2025-06-11 09:02:50,0,1
2025-06-11 10:02:30,1200,2
2025-06-11 11:02:19,1200,3
2025-06-11 12:03:45,2400,4
2025-06-11 13:12:00,0,3
2025-06-11 14:02:14,0,3
2025-06-11 15:02:20,1200,5
2025-06-11 16:02:34,0,4
2025-06-11 17:02:15,6000,7
2025-06-11 18:03:01,6000,8
2025-06-11 19:02:07,6000,9
2025-06-11 20:02:02,3600,7
2025-06-11 21:02:24,3600,7
2025-06-11 22:02:05,0,3
2025-06-11 23:02:03,0,0
2025-06-12 00:09:32,0,0
2025-06-12 01:29:58,0,0
2025-06-12 02:32:08,0,0
2025-06-12 03:22:46,0,0
2025-06-12 04:06:30,0,1
2025-06-12 05:02:25,0,0
2025-06-12 06:03:14,0,1
2025-06-12 07:02:25,0,0
2025-06-12 08:03:07,2400,3
2025-06-12 09:02:28,0,3
2025-06-12 10:02:28,0,2
2025-06-12 11:02:10,0,0
2025-06-12 12:03:49,0,1
2025-06-12 13:11:41,0,1
2025-06-12 14:02:11,0,2
2025-06-12 15:02:25,6000,7
2025-06-12 16:02:39,1200,5
2025-06-12 17:02:26,1200,2
2025-06-12 18:03:03,0,1
2025-06-12 19:02:07,0,0
2025-06-12 20:02:29,0,1
2025-06-12 21:02:31,0,0
2025-06-12 22:02:14,0,0
2025-06-12 23:02:20,0,0
2025-06-13 00:09:30,0,0
2025-06-13 01:30:07,0,0
2025-06-13 02:32:25,0,0
2025-06-13 03:23:57,0,0
2025-06-13 04:06:44,0,0
2025-06-13 05:02:21,0,0
2025-06-13 06:03:06,0,0
2025-06-13 07:02:19,0,0
