checkpoint_time,wait_time,vehicles_in_queue
2024-04-03 15:33:33,375840,364
2024-04-03 16:02:17,365040,357
2024-04-03 17:01:54,372600,364
2024-04-03 18:02:03,372600,363
2024-04-03 19:02:02,372600,362
2024-04-03 20:02:15,374760,364
2024-04-03 21:02:04,365040,359
2024-04-03 22:02:10,355320,352
2024-04-03 23:02:16,355320,353
2024-04-04 01:23:49,346680,345
2024-04-04 02:08:59,348840,345
2024-04-04 03:02:11,348840,345
2024-04-04 04:02:29,353160,347
2024-04-04 05:02:08,353160,346
2024-04-04 06:02:17,361800,351
2024-04-04 07:02:13,361800,347
2024-04-04 08:02:04,358560,343
2024-04-04 09:02:19,367200,351
2024-04-04 10:02:18,359640,344
2024-04-04 11:01:50,363960,348
2024-04-04 12:02:49,366120,350
2024-04-04 13:02:34,361800,345
2024-04-04 14:03:01,370440,355
2024-04-04 15:01:55,367200,355
2024-04-04 16:02:02,356400,356
2024-04-04 17:02:04,343440,356
2024-04-04 18:02:15,346680,360
2024-04-04 19:02:13,334800,351
2024-04-04 20:01:59,346680,351
2024-04-04 21:02:07,349920,353
2024-04-04 22:01:54,320280,346
2024-04-04 23:02:02,315180,342
2024-04-05 00:06:50,314160,342
2024-04-05 01:23:03,310080,334
2024-04-05 02:08:13,312120,336
2024-04-05 03:02:11,316200,336
2024-04-05 04:02:07,317220,336
2024-04-05 05:02:05,315180,329
2024-04-05 06:02:13,320280,331
2024-04-05 07:01:59,324360,334
2024-04-05 08:02:15,327420,335
2024-04-05 09:01:55,329460,336
2024-04-05 10:02:05,326400,335
2024-04-05 11:02:03,331500,340
2024-04-05 12:02:54,324360,334
2024-04-05 13:02:09,325380,337
2024-04-05 14:02:18,334560,345
2024-04-05 15:01:56,337620,348
