checkpoint_time,wait_time,vehicles_in_queue
2025-03-25 08:02:46,0,2
2025-03-25 09:02:23,0,5
2025-03-25 10:02:25,4320,6
2025-03-25 11:02:05,1380,4
2025-03-25 12:03:26,1380,3
2025-03-25 13:08:06,1440,7
2025-03-25 14:02:27,2880,5
2025-03-25 15:02:18,0,6
2025-03-25 16:02:39,1440,2
2025-03-25 17:02:18,1440,4
2025-03-25 18:02:53,5760,5
2025-03-25 19:02:07,0,3
2025-03-25 20:02:31,1440,11
2025-03-25 21:02:09,0,5
2025-03-25 22:02:09,0,9
2025-03-25 23:02:10,1440,10
2025-03-26 00:08:43,0,0
2025-03-26 01:29:30,0,0
2025-03-26 02:27:55,0,0
