checkpoint_time,wait_time,vehicles_in_queue
2025-06-11 07:02:22,0,7
2025-06-11 08:03:04,1500,3
2025-06-11 09:02:50,4500,5
2025-06-11 10:02:30,6000,7
2025-06-11 11:02:19,39000,29
2025-06-11 12:03:45,46500,39
2025-06-11 13:12:00,52500,42
2025-06-11 14:02:14,66000,51
2025-06-11 15:02:20,63000,54
2025-06-11 16:02:34,64500,54
2025-06-11 17:02:15,76500,61
2025-06-11 18:03:01,90000,70
2025-06-11 19:02:07,91500,71
2025-06-11 20:02:02,99000,76
2025-06-11 21:02:24,99000,75
2025-06-11 22:02:05,100500,76
2025-06-11 23:02:03,93000,72
2025-06-12 00:09:32,80640,66
2025-06-12 01:29:58,79200,65
2025-06-12 02:32:08,82080,67
2025-06-12 03:22:46,80640,67
2025-06-12 04:06:30,84960,70
2025-06-12 05:02:25,77760,64
2025-06-12 06:03:14,80640,66
2025-06-12 07:02:25,74880,62
2025-06-12 08:03:07,84960,69
2025-06-12 09:02:28,87840,71
2025-06-12 10:02:28,77760,64
2025-06-12 11:02:10,80640,66
2025-06-12 12:03:49,86400,70
2025-06-12 13:11:41,87840,71
2025-06-12 14:02:11,93600,75
2025-06-12 15:02:25,89280,72
2025-06-12 16:02:39,103680,82
2025-06-12 17:02:26,99360,80
2025-06-12 18:03:03,105120,84
2025-06-12 19:02:07,97920,78
2025-06-12 20:02:29,97920,79
2025-06-12 21:02:31,100800,80
2025-06-12 22:02:14,86400,72
2025-06-12 23:02:20,83520,66
2025-06-13 00:09:30,67680,61
2025-06-13 01:30:07,60000,54
2025-06-13 02:32:25,61500,53
2025-06-13 03:23:57,63000,53
2025-06-13 04:06:44,63000,50
2025-06-13 05:02:21,64500,51
2025-06-13 06:03:06,66000,51
2025-06-13 07:02:19,67500,52
2025-06-13 08:02:58,75000,55
2025-06-13 09:02:33,61500,52
2025-06-13 10:02:32,55500,48
2025-06-13 11:02:15,49500,44
2025-06-13 12:03:28,45000,42
2025-06-13 13:11:02,37500,38
2025-06-13 14:02:22,31500,34
2025-06-13 15:02:29,28500,30
2025-06-13 16:02:22,36000,37
2025-06-13 17:02:03,40500,39
2025-06-13 18:02:57,43500,41
2025-06-13 19:02:10,49500,44
2025-06-13 20:02:39,40500,38
2025-06-13 21:02:08,40500,38
2025-06-13 22:02:10,33000,33
2025-06-13 23:02:14,13500,23
2025-06-14 00:09:11,15000,23
2025-06-14 01:29:59,15000,23
2025-06-14 02:31:12,16500,23
2025-06-14 03:20:42,13500,19
2025-06-14 04:03:48,10500,15
2025-06-14 05:02:17,0,10
2025-06-14 06:03:00,0,4
2025-06-14 07:02:14,0,4
2025-06-14 08:02:43,0,4
2025-06-14 09:02:07,2880,6
2025-06-14 10:02:16,0,3
2025-06-14 11:02:03,0,2
2025-06-14 12:03:05,0,5
2025-06-14 13:08:09,0,0
2025-06-14 14:02:03,0,1
2025-06-14 15:02:13,0,3
2025-06-14 16:02:20,2880,3
2025-06-14 17:01:59,0,1
2025-06-14 18:02:26,0,2
2025-06-14 19:01:52,0,1
2025-06-14 20:02:21,0,0
2025-06-14 21:02:07,0,3
2025-06-14 22:02:06,0,1
2025-06-14 23:02:15,0,1
2025-06-15 00:10:34,0,0
2025-06-15 01:30:25,0,0
2025-06-15 02:38:36,0,1
2025-06-15 03:28:07,0,1
2025-06-15 04:08:33,0,0
2025-06-15 05:02:21,0,3
2025-06-15 06:02:56,2880,3
2025-06-15 07:02:15,0,1
2025-06-15 08:02:42,0,2
2025-06-15 09:02:21,0,3
2025-06-15 10:02:08,0,4
2025-06-15 11:02:07,0,4
2025-06-15 12:03:18,0,4
2025-06-15 13:08:19,0,3
2025-06-15 14:01:56,0,3
2025-06-15 15:02:12,0,4
2025-06-15 16:02:14,0,2
2025-06-15 17:02:07,0,2
2025-06-15 18:02:37,0,3
2025-06-15 19:02:04,0,2
2025-06-15 20:02:18,0,3
2025-06-15 21:02:08,0,3
2025-06-15 22:02:10,0,1
2025-06-15 23:02:14,0,1
2025-06-16 00:09:58,0,1
2025-06-16 01:30:33,0,1
2025-06-16 02:34:58,0,0
2025-06-16 03:27:02,0,1
2025-06-16 04:09:42,0,0
2025-06-16 05:03:31,0,1
2025-06-16 06:03:26,0,1
2025-06-16 07:03:02,0,2
2025-06-16 08:03:03,0,1
2025-06-16 09:03:13,0,0
2025-06-16 10:02:32,0,0
2025-06-16 11:02:09,0,1
2025-06-16 12:03:55,0,0
2025-06-16 13:12:22,0,2
2025-06-16 14:02:24,0,2
2025-06-16 15:02:36,0,1
2025-06-16 16:02:33,0,5
2025-06-16 17:02:37,0,4
2025-06-16 18:02:57,0,3
2025-06-16 19:02:03,0,7
2025-06-16 20:02:27,2880,12
2025-06-16 21:02:20,0,6
2025-06-16 22:02:17,0,10
2025-06-16 23:02:15,0,1
2025-06-17 00:09:32,0,0
2025-06-17 01:30:08,0,0
2025-06-17 02:32:52,0,1
2025-06-17 03:23:58,0,2
2025-06-17 04:07:23,0,1
2025-06-17 05:02:19,0,2
2025-06-17 06:03:02,0,0
2025-06-17 07:02:34,0,1
2025-06-17 08:03:05,0,3
2025-06-17 09:03:15,0,6
2025-06-17 10:02:22,0,8
2025-06-17 11:02:21,0,7
2025-06-17 12:03:27,0,10
2025-06-17 13:12:16,2880,7
2025-06-17 14:02:25,0,5
2025-06-17 15:02:25,1440,2
2025-06-17 16:02:33,0,3
2025-06-17 17:02:53,0,5
2025-06-17 18:03:06,0,2
2025-06-17 19:02:08,0,3
2025-06-17 20:02:37,0,5
2025-06-17 21:02:21,0,8
2025-06-17 22:02:18,0,3
2025-06-17 23:02:08,0,3
2025-06-18 00:09:19,0,1
2025-06-18 01:29:59,0,1
2025-06-18 02:32:17,0,10
2025-06-18 03:23:23,0,9
2025-06-18 04:07:19,4320,12
2025-06-18 05:02:49,1440,12
2025-06-18 06:03:08,0,7
2025-06-18 07:02:51,1440,11
2025-06-18 08:03:04,0,4
2025-06-18 09:02:48,1440,10
2025-06-18 10:02:16,2820,12
2025-06-18 11:02:15,8640,16
2025-06-18 12:03:58,20160,23
2025-06-18 13:12:10,12960,19
2025-06-18 14:02:29,8580,16
2025-06-18 15:02:20,4260,13
2025-06-18 16:03:00,5760,17
2025-06-18 17:03:42,5700,17
2025-06-18 18:02:59,0,11
2025-06-18 19:02:06,0,7
2025-06-18 20:02:24,11520,12
2025-06-18 21:02:05,0,10
2025-06-18 22:02:06,0,4
2025-06-18 23:02:14,0,1
2025-06-19 00:09:39,0,1
2025-06-19 01:30:01,0,1
2025-06-19 02:32:58,0,8
2025-06-19 03:23:33,0,8
2025-06-19 04:07:09,0,6
2025-06-19 05:02:24,0,5
2025-06-19 06:03:05,4320,5
2025-06-19 07:02:43,12960,11
2025-06-19 08:03:07,7200,11
2025-06-19 09:02:30,7200,15
2025-06-19 10:02:22,8640,16
2025-06-19 11:02:22,20160,25
2025-06-19 12:03:34,23040,27
2025-06-19 13:11:08,47520,44
2025-06-19 14:02:14,61920,53
2025-06-19 15:02:17,72000,60
2025-06-19 16:02:29,72000,61
2025-06-19 17:02:15,82080,67
2025-06-19 18:02:59,83520,68
2025-06-19 19:01:58,74880,62
2025-06-19 20:02:26,60480,54
2025-06-19 21:02:12,60480,55
2025-06-19 22:02:18,48960,47
2025-06-19 23:02:21,48960,48
2025-06-20 00:09:24,50400,48
2025-06-20 01:30:07,50400,48
2025-06-20 02:32:16,51840,48
2025-06-20 03:23:05,53280,49
2025-06-20 04:06:29,56160,50
2025-06-20 05:02:47,61920,53
2025-06-20 06:03:04,61920,53
2025-06-20 07:02:33,54720,48
2025-06-20 08:03:02,60480,52
2025-06-20 09:02:27,60480,51
2025-06-20 10:02:19,61920,53
2025-06-20 11:02:12,56160,49
2025-06-20 12:03:53,64800,49
2025-06-20 13:11:01,50400,46
2025-06-20 14:02:26,53280,49
2025-06-20 15:02:18,41760,42
2025-06-20 16:02:32,41760,42
2025-06-20 17:02:14,33120,37
2025-06-20 18:02:51,30240,33
2025-06-20 19:01:58,28800,33
2025-06-20 20:02:21,21600,27
2025-06-20 21:02:03,12960,22
2025-06-20 22:02:08,11520,22
2025-06-20 23:02:11,4320,16
2025-06-21 00:09:18,0,9
2025-06-21 01:29:51,0,7
2025-06-21 02:31:26,0,3
2025-06-21 03:21:43,0,2
2025-06-21 04:04:06,0,3
2025-06-21 05:02:06,0,2
2025-06-21 06:02:53,0,1
2025-06-21 07:02:09,0,1
2025-06-21 08:02:23,0,3
2025-06-21 09:02:08,0,6
2025-06-21 10:02:14,1440,3
2025-06-21 11:01:54,0,4
2025-06-21 12:03:14,0,3
2025-06-21 13:08:25,0,4
2025-06-21 14:01:58,0,1
2025-06-21 15:02:13,0,2
2025-06-21 16:02:17,2820,4
2025-06-21 17:01:58,2820,4
2025-06-21 18:02:38,2820,4
2025-06-21 19:02:06,0,0
2025-06-21 20:02:12,0,1
2025-06-21 21:02:00,0,0
2025-06-21 22:01:57,0,0
2025-06-21 23:02:19,0,0
2025-06-22 00:10:22,0,0
