checkpoint_time,wait_time,vehicles_in_queue
2024-04-03 15:33:33,0,6
2024-04-03 16:02:17,0,4
2024-04-03 17:01:54,0,4
2024-04-03 18:02:03,0,1
2024-04-03 19:02:02,0,0
2024-04-03 20:02:15,0,0
2024-04-03 21:02:04,0,0
2024-04-03 22:02:10,0,0
2024-04-03 23:02:16,0,2
2024-04-04 01:23:49,0,0
2024-04-04 02:08:59,0,1
2024-04-04 03:02:11,0,2
2024-04-04 04:02:29,0,0
2024-04-04 05:02:08,0,0
2024-04-04 06:02:17,0,0
2024-04-04 07:02:13,0,6
2024-04-04 08:02:04,900,9
2024-04-04 09:02:19,3600,12
2024-04-04 10:02:18,9900,20
2024-04-04 11:01:50,12600,23
2024-04-04 12:02:49,12600,23
2024-04-04 13:02:34,14400,25
2024-04-04 14:03:01,16200,27
2024-04-04 15:01:55,14400,25
2024-04-04 16:02:02,11700,24
2024-04-04 17:02:04,7200,19
2024-04-04 18:02:15,7200,19
2024-04-04 19:02:13,9000,19
2024-04-04 20:01:59,3600,14
2024-04-04 21:02:07,0,10
2024-04-04 22:01:54,0,4
2024-04-04 23:02:02,0,0
2024-04-05 00:06:50,0,0
2024-04-05 01:23:03,0,0
2024-04-05 02:08:13,0,0
2024-04-05 03:02:11,0,1
2024-04-05 04:02:07,0,0
2024-04-05 05:02:05,0,0
2024-04-05 06:02:13,0,4
2024-04-05 07:01:59,0,2
2024-04-05 08:02:15,0,6
2024-04-05 09:01:55,0,5
2024-04-05 10:02:05,0,1
2024-04-05 11:02:03,0,4
2024-04-05 12:02:54,0,3
2024-04-05 13:02:09,0,1
2024-04-05 14:02:18,0,3
2024-04-05 15:01:56,0,5
2024-04-05 16:03:03,0,2
2024-04-05 17:02:20,0,0
2024-04-05 18:02:21,0,2
2024-04-05 19:02:28,0,0
2024-04-05 20:03:05,0,2
2024-04-05 21:02:52,0,3
2024-04-05 22:02:07,0,5
2024-04-05 23:01:59,0,3
2024-04-06 00:06:03,0,3
2024-04-06 01:22:08,0,3
2024-04-06 02:06:58,0,3
2024-04-06 03:02:09,900,3
2024-04-06 04:02:01,0,0
2024-04-06 05:01:58,0,1
2024-04-06 06:02:12,0,7
2024-04-06 07:01:52,0,9
2024-04-06 08:02:12,0,1
2024-04-06 09:02:08,0,7
2024-04-06 10:02:04,0,5
2024-04-06 11:02:02,2700,9
2024-04-06 12:02:28,0,6
2024-04-06 13:02:01,0,3
2024-04-06 14:01:51,0,3
2024-04-06 15:02:00,0,4
2024-04-06 16:01:56,0,3
2024-04-06 17:02:56,0,1
2024-04-06 18:01:55,0,10
2024-04-06 19:02:04,0,7
2024-04-06 20:02:54,0,2
2024-04-06 21:01:54,0,1
2024-04-06 22:02:01,0,0
2024-04-07 01:26:46,0,0
2024-04-07 02:10:28,0,2
2024-04-07 03:02:54,0,2
2024-04-07 04:02:14,0,2
2024-04-07 05:02:18,0,2
2024-04-07 06:02:20,900,2
2024-04-07 07:01:57,0,7
2024-04-07 08:02:08,0,8
2024-04-07 09:02:00,0,8
2024-04-07 10:01:50,0,5
2024-04-07 11:02:05,0,6
2024-04-07 12:02:48,0,3
2024-04-07 13:02:08,0,2
2024-04-07 14:02:03,0,1
2024-04-07 15:02:16,0,0
2024-04-07 16:01:55,0,2
2024-04-07 17:02:03,0,3
2024-04-07 18:02:14,0,0
2024-04-07 19:02:05,0,1
2024-04-07 20:01:56,0,1
2024-04-07 21:01:55,0,2
2024-04-07 22:02:28,0,0
2024-04-07 23:02:03,0,0
2024-04-08 00:06:49,0,0
2024-04-08 01:24:21,0,0
2024-04-08 02:09:21,0,0
2024-04-08 03:02:00,0,0
2024-04-08 04:02:11,0,0
2024-04-08 05:02:11,0,1
2024-04-08 06:02:07,0,0
2024-04-08 07:02:22,0,0
2024-04-08 08:02:29,0,1
2024-04-08 09:01:59,0,0
2024-04-08 10:02:14,0,3
2024-04-08 11:01:48,0,1
2024-04-08 12:02:35,0,0
2024-04-08 13:02:04,0,1
2024-04-08 14:02:14,0,0
2024-04-08 15:01:58,0,0
2024-04-08 16:02:02,0,0
2024-04-08 17:02:55,0,2
2024-04-08 18:02:17,0,3
2024-04-08 19:02:14,0,1
2024-04-08 20:02:06,0,1
2024-04-08 21:01:54,0,0
2024-04-08 22:01:58,0,0
2024-04-08 23:02:01,0,0
2024-04-09 00:07:20,0,0
2024-04-09 01:23:36,0,0
2024-04-09 02:08:09,0,0
2024-04-09 03:02:23,0,0
2024-04-09 04:02:04,0,0
2024-04-09 05:02:10,0,1
2024-04-09 06:02:24,0,0
2024-04-09 07:02:06,0,2
2024-04-09 08:02:29,0,4
2024-04-09 09:02:11,0,4
2024-04-09 10:02:21,0,6
2024-04-09 11:02:10,0,3
2024-04-09 12:02:49,0,3
2024-04-09 13:02:05,0,6
2024-04-09 14:02:02,0,10
2024-04-09 15:02:19,0,6
2024-04-09 16:02:04,0,5
2024-04-09 17:02:04,0,4
2024-04-09 18:02:09,0,1
2024-04-09 19:03:00,0,1
2024-04-09 20:02:17,0,0
2024-04-09 21:03:00,0,0
2024-04-09 22:02:13,0,0
2024-04-09 23:02:02,0,0
2024-04-10 00:06:22,0,1
2024-04-10 01:22:58,0,1
2024-04-10 02:08:21,0,1
2024-04-10 03:01:56,0,1
2024-04-10 04:02:12,0,0
2024-04-10 05:02:03,0,2
2024-04-10 06:02:10,0,5
2024-04-10 07:01:56,0,5
2024-04-10 08:02:21,0,2
2024-04-10 09:02:57,0,0
2024-04-10 10:02:06,0,1
2024-04-10 11:02:08,0,1
2024-04-10 12:02:52,0,6
2024-04-10 13:02:15,0,5
2024-04-10 14:02:00,0,6
2024-04-10 15:01:59,0,3
2024-04-10 16:02:15,0,5
2024-04-10 17:02:08,0,4
2024-04-10 18:02:16,0,0
2024-04-10 19:03:23,0,0
2024-04-10 20:02:09,0,0
2024-04-10 21:02:11,0,0
2024-04-10 22:02:22,0,1
2024-04-10 23:03:21,0,1
2024-04-11 00:06:28,0,1
2024-04-11 01:24:02,0,1
2024-04-11 02:09:32,0,1
2024-04-11 03:02:09,0,0
2024-04-11 04:01:59,0,0
2024-04-11 05:02:19,0,3
2024-04-11 06:02:19,0,3
2024-04-11 07:02:58,0,6
2024-04-11 08:02:21,0,9
2024-04-11 09:02:01,0,7
2024-04-11 10:02:31,0,3
2024-04-11 11:02:17,0,5
2024-04-11 12:02:38,0,2
2024-04-11 13:02:08,0,4
2024-04-11 14:01:56,0,5
2024-04-11 15:02:11,0,5
2024-04-11 16:03:11,0,6
2024-04-11 17:02:05,0,2
2024-04-11 18:01:59,0,5
2024-04-11 19:01:54,0,5
2024-04-11 20:01:54,0,3
2024-04-11 21:01:52,0,0
2024-04-11 22:01:53,0,0
2024-04-11 23:03:01,0,0
2024-04-12 00:06:16,0,0
2024-04-12 01:23:43,0,0
2024-04-12 02:09:59,0,0
2024-04-12 04:02:04,0,1
2024-04-12 05:02:15,0,0
2024-04-12 06:02:17,0,0
2024-04-12 07:02:06,0,0
2024-04-12 08:02:16,0,1
2024-04-12 09:03:13,0,1
2024-04-12 10:02:04,0,5
2024-04-12 11:02:27,0,6
2024-04-12 12:02:44,6300,15
2024-04-12 13:01:57,12600,23
2024-04-12 14:02:10,14400,26
2024-04-12 15:02:10,18900,31
2024-04-12 16:02:12,25200,38
2024-04-12 17:02:07,20700,33
2024-04-12 18:02:17,18000,31
2024-04-12 19:02:06,15300,28
2024-04-12 20:03:05,3600,15
2024-04-12 21:02:19,0,9
2024-04-12 22:01:49,0,5
2024-04-12 23:02:06,0,1
2024-04-13 00:05:54,0,1
2024-04-13 01:15:02,0,1
2024-04-13 02:02:02,0,4
