checkpoint_time,wait_time,vehicles_in_queue
2025-06-11 07:02:22,75600,43
2025-06-11 08:03:04,88560,46
2025-06-11 09:02:50,82080,45
2025-06-11 10:02:30,79920,47
2025-06-11 11:02:19,84240,49
2025-06-11 12:03:45,77760,47
2025-06-11 13:12:00,73440,48
2025-06-11 14:02:14,69120,48
2025-06-11 15:02:20,43200,40
2025-06-11 16:02:34,47520,42
2025-06-11 17:02:15,41040,38
2025-06-11 18:03:01,45360,39
2025-06-11 19:02:07,47520,39
2025-06-11 20:02:02,43200,33
2025-06-11 21:02:24,49680,35
2025-06-11 22:02:05,54000,36
2025-06-11 23:02:03,54000,36
2025-06-12 00:09:32,38880,28
2025-06-12 01:29:58,43200,28
2025-06-12 02:32:08,45360,28
2025-06-12 03:22:46,49680,30
2025-06-12 04:06:30,51840,31
2025-06-12 05:02:25,51840,30
2025-06-12 06:03:14,56160,31
2025-06-12 07:02:25,34560,24
2025-06-12 08:03:07,32400,23
2025-06-12 09:02:28,30240,24
2025-06-12 10:02:28,28080,24
2025-06-12 11:02:10,34560,27
2025-06-12 12:03:49,6480,17
2025-06-12 13:11:41,2160,17
2025-06-12 14:02:11,2160,18
2025-06-12 15:02:25,0,13
2025-06-12 16:02:39,0,12
2025-06-12 17:02:26,0,12
2025-06-12 18:03:03,4320,13
2025-06-12 19:02:07,12960,16
2025-06-12 20:02:29,6480,8
2025-06-12 21:02:31,8640,9
2025-06-12 22:02:14,8640,9
2025-06-12 23:02:20,8640,9
2025-06-13 00:09:30,8640,9
2025-06-13 01:30:07,12960,9
2025-06-13 02:32:25,15120,10
2025-06-13 03:23:57,0,3
2025-06-13 04:06:44,0,3
2025-06-13 05:02:21,4320,4
2025-06-13 06:03:06,6480,5
2025-06-13 07:02:19,0,5
2025-06-13 08:02:58,0,1
2025-06-13 09:02:33,0,2
2025-06-13 10:02:32,0,2
2025-06-13 11:02:15,0,2
2025-06-13 12:03:28,0,1
2025-06-13 13:11:02,0,1
2025-06-13 14:02:22,0,1
2025-06-13 15:02:29,0,2
2025-06-13 16:02:22,0,1
2025-06-13 17:02:03,9000,11
2025-06-13 18:02:57,0,6
2025-06-13 19:02:10,0,8
2025-06-13 20:02:39,0,9
2025-06-13 21:02:08,5400,8
2025-06-13 22:02:10,7200,9
2025-06-13 23:02:14,0,5
2025-06-14 00:09:11,0,5
2025-06-14 01:29:59,0,5
2025-06-14 02:31:12,0,5
2025-06-14 03:20:42,1800,5
2025-06-14 04:03:48,0,3
2025-06-14 05:02:17,1800,3
2025-06-14 06:03:00,1800,9
2025-06-14 07:02:14,0,4
2025-06-14 08:02:43,0,5
2025-06-14 09:02:07,0,4
2025-06-14 10:02:16,0,4
2025-06-14 11:02:03,0,4
2025-06-14 12:03:05,3600,3
2025-06-14 13:08:09,7200,5
2025-06-14 14:02:03,9000,13
2025-06-14 15:02:13,12600,15
2025-06-14 16:02:20,21600,20
2025-06-14 17:01:59,32400,26
2025-06-14 18:02:26,43200,31
2025-06-14 19:01:52,36000,32
2025-06-14 20:02:21,37800,34
2025-06-14 21:02:07,41400,36
2025-06-14 22:02:06,46800,39
2025-06-14 23:02:15,43200,32
2025-06-15 00:10:34,30600,32
2025-06-15 01:30:25,30600,32
2025-06-15 02:38:36,36000,31
2025-06-15 03:28:07,43200,34
2025-06-15 04:08:33,52200,36
2025-06-15 05:02:21,55800,37
2025-06-15 06:02:56,61200,39
2025-06-15 07:02:15,77400,48
2025-06-15 08:02:42,86400,53
2025-06-15 09:02:21,95400,58
2025-06-15 10:02:08,106200,62
2025-06-15 11:02:07,90000,58
2025-06-15 12:03:18,91800,59
2025-06-15 13:08:19,93600,60
2025-06-15 14:01:56,97200,62
2025-06-15 15:02:12,106200,66
2025-06-15 16:02:14,99000,63
2025-06-15 17:02:07,100800,64
2025-06-15 18:02:37,99000,64
2025-06-15 19:02:04,99000,64
2025-06-15 20:02:18,84600,54
2025-06-15 21:02:08,86400,55
2025-06-15 22:02:10,88200,56
2025-06-15 23:02:14,88200,56
2025-06-16 00:09:58,88200,56
2025-06-16 01:30:33,88200,56
2025-06-16 02:34:58,91800,56
2025-06-16 03:27:02,77400,50
2025-06-16 04:09:42,77400,50
2025-06-16 05:03:31,77400,50
2025-06-16 06:03:26,68400,44
2025-06-16 07:03:02,64800,45
2025-06-16 08:03:03,63000,46
2025-06-16 09:03:13,72000,51
2025-06-16 10:02:32,93600,63
