checkpoint_time,wait_time,vehicles_in_queue
2024-04-03 15:33:33,2232840,820
2024-04-03 16:02:17,2241120,823
2024-04-03 17:01:54,2249400,824
2024-04-03 18:02:03,2260440,826
2024-04-03 19:02:02,2260440,825
2024-04-03 20:02:15,2263200,826
2024-04-03 21:02:04,2268720,827
2024-04-03 22:02:10,2268720,826
2024-04-03 23:02:16,2268720,826
2024-04-04 01:23:49,2243880,823
2024-04-04 02:08:59,2241120,823
2024-04-04 03:02:11,2235600,823
2024-04-04 04:02:29,2235600,817
2024-04-04 05:02:08,2235600,816
2024-04-04 06:02:17,2230080,814
2024-04-04 07:02:13,2235600,816
2024-04-04 08:02:04,2243880,819
2024-04-04 09:02:19,2219040,816
2024-04-04 10:02:18,2224560,817
2024-04-04 11:01:50,2213520,815
2024-04-04 12:02:49,2202240,810
2024-04-04 13:02:34,2003400,808
2024-04-04 14:03:01,2000880,807
2024-04-04 15:01:55,1998360,808
2024-04-04 16:02:02,1993320,806
2024-04-04 17:02:04,1998360,807
2024-04-04 18:02:15,1990800,808
2024-04-04 19:02:13,1955520,797
2024-04-04 20:01:59,1927800,794
2024-04-04 21:02:07,1912680,792
2024-04-04 22:01:54,1930320,791
2024-04-04 23:02:02,1932840,791
2024-04-05 00:06:50,1937880,786
2024-04-05 01:23:03,1945440,788
2024-04-05 02:08:13,1945440,788
2024-04-05 03:02:11,1947960,789
2024-04-05 04:02:07,1947960,789
2024-04-05 05:02:05,1947960,789
2024-04-05 06:02:13,1965600,791
2024-04-05 07:01:59,1980720,793
2024-04-05 08:02:15,1985760,795
2024-04-05 09:01:55,2000880,801
2024-04-05 10:02:05,2008440,804
2024-04-05 11:02:03,2008440,804
2024-04-05 12:02:54,2021040,806
2024-04-05 13:02:09,2038680,813
2024-04-05 14:02:18,2043720,813
2024-04-05 15:01:56,2051280,817
2024-04-05 16:03:03,2063880,819
2024-04-05 17:02:20,2068920,821
2024-04-05 18:02:21,2073960,823
2024-04-05 19:02:28,2076480,824
2024-04-05 20:03:05,2081520,826
2024-04-05 21:02:52,2089080,829
2024-04-05 22:02:07,2089080,829
2024-04-05 23:01:59,2089080,829
2024-04-06 00:06:03,2089080,829
2024-04-06 01:22:08,2089080,829
2024-04-06 02:06:58,2089080,829
2024-04-06 03:02:09,2089080,829
2024-04-06 04:02:01,2089080,829
2024-04-06 05:01:58,2089080,829
2024-04-06 06:02:12,2089080,829
2024-04-06 07:01:52,2056320,824
2024-04-06 08:02:12,2061360,822
2024-04-06 09:02:08,2038680,822
2024-04-06 10:02:04,2038680,822
2024-04-06 11:02:02,2031120,819
2024-04-06 12:02:28,2023560,818
2024-04-06 13:02:01,2117280,815
2024-04-06 14:01:51,2109360,812
2024-04-06 15:02:00,2093520,805
2024-04-06 16:01:56,2093520,804
2024-04-06 17:02:56,2085600,802
2024-04-06 18:01:55,2090880,804
2024-04-06 19:02:04,2093520,805
2024-04-06 20:02:54,2067120,796
2024-04-06 21:01:54,2064480,790
2024-04-06 22:02:01,2064480,790
2024-04-07 01:26:46,2069760,788
2024-04-07 02:10:28,2069760,788
2024-04-07 03:02:54,2040720,788
2024-04-07 04:02:14,2040720,786
2024-04-07 05:02:18,2040720,784
2024-04-07 06:02:20,2027520,784
2024-04-07 07:01:57,2032800,782
2024-04-07 08:02:08,2035440,782
2024-04-07 09:02:00,2032800,779
2024-04-07 10:01:50,2043360,778
2024-04-07 11:02:05,2046000,779
2024-04-07 12:02:48,2046000,778
2024-04-07 13:02:08,2046000,777
2024-04-07 14:02:03,2046000,777
2024-04-07 15:02:16,2048640,777
2024-04-07 16:01:55,2048640,777
2024-04-07 17:02:03,2051280,778
2024-04-07 18:02:14,2056560,780
2024-04-07 19:02:05,2059200,781
2024-04-07 20:01:56,2059200,780
2024-04-07 21:01:55,2059200,780
2024-04-07 22:02:28,2059200,780
2024-04-07 23:02:03,2059200,780
2024-04-08 00:06:49,2059200,780
2024-04-08 01:24:21,2027520,780
2024-04-08 02:09:21,2027520,780
2024-04-08 03:02:00,2027520,780
2024-04-08 04:02:11,2019600,777
2024-04-08 05:02:11,2022240,776
2024-04-08 06:02:07,2014320,775
2024-04-08 07:02:22,2111400,768
2024-04-08 08:02:29,2114160,767
2024-04-08 09:01:59,2127960,772
2024-04-08 10:02:14,2130720,773
2024-04-08 11:01:48,2133480,774
2024-04-08 12:02:35,2127960,773
2024-04-08 13:02:04,2133480,775
2024-04-08 14:02:14,2139000,777
2024-04-08 15:01:58,2144520,780
2024-04-08 16:02:02,2144520,780
2024-04-08 17:02:55,2144520,780
2024-04-08 18:02:17,2111400,780
2024-04-08 19:02:14,2105880,777
2024-04-08 20:02:06,2094840,771
2024-04-08 21:01:54,2094840,768
2024-04-08 22:01:58,2097600,768
