checkpoint_time,wait_time,vehicles_in_queue
2025-03-24 14:02:16,331200,254
2025-03-24 15:02:19,331200,254
2025-03-24 16:02:34,339480,258
2025-03-24 17:02:17,333960,257
2025-03-24 18:02:37,310500,249
2025-03-24 19:02:06,313260,249
2025-03-24 20:02:20,307740,249
2025-03-24 21:02:19,303600,246
2025-03-24 22:02:07,306360,247
2025-03-24 23:02:21,309120,247
2025-03-25 00:08:55,303600,244
2025-03-25 01:29:29,304980,242
2025-03-25 02:28:29,304980,239
2025-03-25 03:13:33,316800,237
2025-03-25 04:02:45,324000,237
2025-03-25 05:02:15,321120,232
2025-03-25 06:02:52,321120,230
2025-03-25 07:02:20,316800,229
2025-03-25 08:02:46,313920,229
2025-03-25 09:02:23,319680,234
2025-03-25 10:02:25,336960,247
2025-03-25 11:02:05,344160,252
2025-03-25 12:03:26,354240,259
2025-03-25 13:08:06,352800,259
2025-03-25 14:02:27,358560,263
2025-03-25 15:02:18,361440,266
2025-03-25 16:02:39,368640,271
2025-03-25 17:02:18,377280,274
2025-03-25 18:02:53,381600,273
2025-03-25 19:02:07,388800,277
2025-03-25 20:02:31,394560,280
2025-03-25 21:02:09,401760,285
2025-03-25 22:02:09,404640,287
2025-03-25 23:02:10,400320,287
2025-03-26 00:08:43,396000,281
2025-03-26 01:29:30,405000,281
2025-03-26 02:27:55,399000,276
2025-03-26 03:12:22,396000,277
2025-03-26 04:02:52,396000,277
2025-03-26 05:02:17,396000,278
2025-03-26 06:02:54,397500,278
2025-03-26 07:02:25,405000,282
2025-03-26 08:02:51,412500,287
2025-03-26 09:02:25,420000,286
2025-03-26 10:02:23,415500,287
2025-03-26 11:02:08,418500,291
2025-03-26 12:03:20,424500,295
2025-03-26 13:08:43,435000,300
2025-03-26 14:02:31,433500,301
2025-03-26 15:02:35,432000,299
2025-03-26 16:02:57,454500,313
2025-03-26 17:02:20,463500,317
2025-03-26 18:03:09,472500,324
2025-03-26 19:02:13,475500,327
2025-03-26 20:02:18,475500,325
2025-03-26 21:02:09,457500,321
2025-03-26 22:02:01,454500,320
2025-03-26 23:02:17,450000,317
2025-03-27 00:08:32,447000,312
2025-03-27 01:29:36,450000,312
2025-03-27 02:28:21,420480,311
2025-03-27 03:13:14,424800,311
2025-03-27 04:02:30,424800,310
2025-03-27 05:02:19,417600,304
2025-03-27 06:02:56,420480,306
2025-03-27 07:02:21,432000,307
2025-03-27 08:02:37,429120,306
2025-03-27 09:02:27,427680,306
2025-03-27 10:02:25,429120,306
2025-03-27 11:02:12,429120,304
2025-03-27 12:03:22,430560,307
2025-03-27 13:08:13,432000,305
2025-03-27 14:02:13,452160,320
2025-03-27 15:02:21,465120,331
2025-03-27 16:02:32,478080,342
2025-03-27 17:02:13,483840,345
