checkpoint_time,wait_time,vehicles_in_queue
2024-04-03 15:33:33,1530000,5143
2024-04-03 16:02:17,1534200,5158
2024-04-03 17:01:54,1542600,5172
2024-04-03 18:02:03,1544100,5195
2024-04-03 19:02:02,1546200,5194
2024-04-03 20:02:15,1542900,5182
2024-04-03 21:02:04,1539900,5180
2024-04-03 22:02:10,1532700,5154
2024-04-03 23:02:16,1528800,5140
2024-04-04 01:23:49,1526400,5121
2024-04-04 02:08:59,1527000,5121
2024-04-04 03:02:11,1519200,5112
2024-04-04 04:02:29,1517700,5099
2024-04-04 05:02:08,1511400,5084
2024-04-04 06:02:17,1512300,5087
2024-04-04 07:02:13,1510800,5084
2024-04-04 08:02:04,1509000,5074
2024-04-04 09:02:19,1512900,5087
2024-04-04 10:02:18,1518900,5096
2024-04-04 11:01:50,1521600,5112
2024-04-04 12:02:49,1528800,5138
2024-04-04 13:02:34,1537800,5171
2024-04-04 14:03:01,1545300,5200
2024-04-04 15:01:55,1551600,5223
2024-04-04 16:02:02,1557600,5245
2024-04-04 17:02:04,1561500,5253
2024-04-04 18:02:15,1567800,5277
2024-04-04 19:02:13,1564800,5272
2024-04-04 20:01:59,1554900,5253
2024-04-04 21:02:07,1546200,5234
2024-04-04 22:01:54,1540200,5219
2024-04-04 23:02:02,1536600,5206
2024-04-05 00:06:50,1533600,5191
2024-04-05 01:23:03,1530900,5176
2024-04-05 02:08:13,1527600,5162
2024-04-05 03:02:11,1523100,5151
2024-04-05 04:02:07,1520700,5141
2024-04-05 05:02:05,1519200,5135
2024-04-05 06:02:13,1524600,5144
2024-04-05 07:01:59,1522200,5129
2024-04-05 08:02:15,1522200,5125
2024-04-05 09:01:55,1519800,5119
2024-04-05 10:02:05,1519200,5116
2024-04-05 11:02:03,1525200,5138
2024-04-05 12:02:54,1525200,5151
2024-04-05 13:02:09,1529400,5166
2024-04-05 14:02:18,1540800,5199
2024-04-05 15:01:56,1538400,5204
2024-04-05 16:03:03,1542600,5215
