checkpoint_time,wait_time,vehicles_in_queue
2025-03-18 10:02:19,0,0
2025-03-18 11:02:06,0,13
2025-03-18 12:03:16,0,21
2025-03-18 13:08:02,1080,19
2025-03-18 14:02:22,0,25
2025-03-18 15:02:35,2880,33
2025-03-18 16:02:34,2160,35
2025-03-18 17:02:09,3240,37
2025-03-18 18:02:50,4680,43
2025-03-18 19:01:52,7920,55
2025-03-18 20:02:20,5400,56
2025-03-18 21:02:07,5760,58
2025-03-18 22:02:16,0,41
2025-03-18 23:02:14,1080,42
2025-03-19 00:08:37,0,34
2025-03-19 01:29:35,0,33
2025-03-19 02:27:52,0,34
2025-03-19 03:11:51,0,30
2025-03-19 04:02:24,0,30
2025-03-19 05:02:22,0,26
2025-03-19 06:03:10,5760,25
2025-03-19 07:02:16,0,24
2025-03-19 08:03:04,0,20
2025-03-19 09:02:29,0,21
2025-03-19 10:02:21,360,29
2025-03-19 11:02:03,1080,29
2025-03-19 12:03:18,1800,32
2025-03-19 13:07:54,2880,40
2025-03-19 14:02:22,7200,53
2025-03-19 15:02:28,9720,59
2025-03-19 16:02:38,9000,56
2025-03-19 17:02:30,10440,63
2025-03-19 18:02:45,12960,73
2025-03-19 19:02:10,13320,74
2025-03-19 20:02:32,12960,75
2025-03-19 21:02:13,6480,66
2025-03-19 22:02:16,9000,69
2025-03-19 23:02:28,7920,63
2025-03-20 00:08:26,5040,53
2025-03-20 01:29:27,3240,43
2025-03-20 02:27:08,0,32
2025-03-20 03:11:07,1080,32
2025-03-20 04:02:29,1080,29
2025-03-20 05:02:15,2160,32
2025-03-20 06:02:51,1440,31
2025-03-20 07:02:18,5400,41
2025-03-20 08:02:54,3240,35
