checkpoint_time,wait_time,vehicles_in_queue
2024-04-03 15:33:33,1134000,63
2024-04-03 16:02:17,1134000,63
2024-04-03 17:01:54,1134000,63
2024-04-03 18:02:03,1134000,63
2024-04-03 19:02:02,1134000,63
2024-04-03 20:02:15,1134000,63
2024-04-03 21:02:04,1134000,63
2024-04-03 22:02:10,1134000,63
2024-04-03 23:02:16,1134000,63
2024-04-04 01:23:49,1134000,63
2024-04-04 02:08:59,1134000,63
2024-04-04 03:02:11,1134000,63
2024-04-04 04:02:29,1134000,63
2024-04-04 05:02:08,1134000,63
2024-04-04 06:02:17,1134000,63
2024-04-04 07:02:13,1134000,63
2024-04-04 08:02:04,1098000,61
2024-04-04 09:02:19,1080000,59
2024-04-04 10:02:18,1062000,59
2024-04-04 11:01:50,1062000,59
2024-04-04 12:02:49,1062000,59
2024-04-04 13:02:34,1062000,59
2024-04-04 14:03:01,1062000,59
2024-04-04 15:01:55,1062000,59
2024-04-04 16:02:02,1062000,59
2024-04-04 17:02:04,1062000,59
2024-04-04 18:02:15,1062000,59
2024-04-04 19:02:13,1062000,59
2024-04-04 20:01:59,1062000,59
2024-04-04 21:02:07,1062000,59
2024-04-04 22:01:54,1062000,59
2024-04-04 23:02:02,1062000,59
2024-04-05 00:06:50,1062000,59
2024-04-05 01:23:03,1062000,59
2024-04-05 02:08:13,1062000,59
