checkpoint_time,wait_time,vehicles_in_queue
2024-04-03 15:33:33,1051200,302
2024-04-03 16:02:17,1051200,302
2024-04-03 17:01:54,1054800,303
2024-04-03 18:02:03,1054800,303
2024-04-03 19:02:02,1051200,302
2024-04-03 20:02:15,1058400,304
2024-04-03 21:02:04,1058400,304
2024-04-03 22:02:10,1062000,305
2024-04-03 23:02:16,1069200,307
2024-04-04 01:23:49,1072800,308
2024-04-04 02:08:59,1072800,308
2024-04-04 03:02:11,1072800,308
2024-04-04 04:02:29,1072800,308
2024-04-04 05:02:08,1076400,309
2024-04-04 06:02:17,1076400,309
2024-04-04 07:02:13,1087200,312
2024-04-04 08:02:04,1051200,302
2024-04-04 09:02:19,1044000,300
2024-04-04 10:02:18,1044000,300
2024-04-04 11:01:50,1033200,297
2024-04-04 12:02:49,1036800,298
2024-04-04 13:02:34,1036800,298
2024-04-04 14:03:01,1036800,298
2024-04-04 15:01:55,1040400,299
2024-04-04 16:02:02,1040400,299
2024-04-04 17:02:04,1036800,299
2024-04-04 18:02:15,1047600,302
2024-04-04 19:02:13,1051200,303
2024-04-04 20:01:59,1058400,305
2024-04-04 21:02:07,1069200,308
2024-04-04 22:01:54,1069200,308
2024-04-04 23:02:02,1069200,308
2024-04-05 00:06:50,1069200,308
2024-04-05 01:23:03,1069200,308
2024-04-05 02:08:13,1069200,308
2024-04-05 03:02:11,1072800,308
2024-04-05 04:02:07,1072800,308
2024-04-05 05:02:05,1072800,308
2024-04-05 06:02:13,1072800,308
2024-04-05 07:01:59,1072800,308
2024-04-05 08:02:15,1051200,302
2024-04-05 09:01:55,1044000,300
2024-04-05 10:02:05,1058400,304
2024-04-05 11:02:03,1058400,304
2024-04-05 12:02:54,1051200,302
2024-04-05 13:02:09,1051200,312
2024-04-05 14:02:18,1062000,315
2024-04-05 15:01:56,1069200,317
2024-04-05 16:03:03,1051200,315
2024-04-05 17:02:20,1116000,338
2024-04-05 18:02:21,1162800,352
2024-04-05 19:02:28,1227600,370
2024-04-05 20:03:05,1224000,365
2024-04-05 21:02:52,1224000,364
2024-04-05 22:02:07,1227600,365
2024-04-05 23:01:59,1234800,366
2024-04-06 00:06:03,1231200,365
2024-04-06 01:22:08,1238400,367
2024-04-06 02:06:58,1206000,358
2024-04-06 03:02:09,1209600,359
2024-04-06 04:02:01,1209600,360
2024-04-06 05:01:58,1213200,361
2024-04-06 06:02:12,1220400,362
2024-04-06 07:01:52,1213200,357
2024-04-06 08:02:12,1198800,353
2024-04-06 09:02:08,1216800,360
2024-04-06 10:02:04,1249200,369
2024-04-06 11:02:02,1256400,371
2024-04-06 12:02:28,1263600,369
2024-04-06 13:02:01,1278000,373
2024-04-06 14:01:51,1274400,371
2024-04-06 15:02:00,1270800,370
2024-04-06 16:01:56,1256400,369
2024-04-06 17:02:56,1245600,366
2024-04-06 18:01:55,1245600,366
2024-04-06 19:02:04,1249200,367
2024-04-06 20:02:54,1256400,369
2024-04-06 21:01:54,1256400,369
2024-04-06 22:02:01,1260000,369
2024-04-07 01:26:46,1260000,369
2024-04-07 02:10:28,1260000,369
2024-04-07 03:02:54,1256400,368
2024-04-07 04:02:14,1267200,371
2024-04-07 05:02:18,1278000,374
2024-04-07 06:02:20,1281600,375
2024-04-07 07:01:57,1274400,373
2024-04-07 08:02:08,1256400,368
2024-04-07 09:02:00,1256400,368
2024-04-07 10:01:50,1260000,369
2024-04-07 11:02:05,1274400,373
2024-04-07 12:02:48,1281600,375
2024-04-07 13:02:08,1270800,372
2024-04-07 14:02:03,1281600,375
2024-04-07 15:02:16,1285200,376
2024-04-07 16:01:55,1292400,378
2024-04-07 17:02:03,1303200,381
2024-04-07 18:02:14,1317600,385
2024-04-07 19:02:05,1314000,384
2024-04-07 20:01:56,1314000,384
2024-04-07 21:01:55,1314000,383
2024-04-07 22:02:28,1314000,383
2024-04-07 23:02:03,1328400,387
2024-04-08 00:06:49,1324800,386
2024-04-08 01:24:21,1324800,386
2024-04-08 02:09:21,1324800,386
2024-04-08 03:02:00,1321200,385
2024-04-08 04:02:11,1314000,383
2024-04-08 05:02:11,1306800,381
2024-04-08 06:02:07,1285200,375
2024-04-08 07:02:22,1238400,362
2024-04-08 08:02:29,1202400,352
2024-04-08 09:01:59,1206000,353
2024-04-08 10:02:14,1198800,351
2024-04-08 11:01:48,1184400,347
2024-04-08 12:02:35,1177200,345
2024-04-08 13:02:04,1188000,348
2024-04-08 14:02:14,1184400,347
2024-04-08 15:01:58,1188000,348
2024-04-08 16:02:02,1184400,346
2024-04-08 17:02:55,1188000,347
2024-04-08 18:02:17,1188000,347
2024-04-08 19:02:14,1177200,344
2024-04-08 20:02:06,1170000,342
2024-04-08 21:01:54,1170000,342
2024-04-08 22:01:58,1170000,342
2024-04-08 23:02:01,1170000,342
2024-04-09 00:07:20,1170000,342
2024-04-09 01:23:36,1170000,342
