checkpoint_time,wait_time,vehicles_in_queue
2025-12-23 08:03:23,52200,59
2025-12-23 09:04:25,48600,54
2025-12-23 10:02:26,41400,47
2025-12-23 11:02:23,35100,43
2025-12-23 12:03:52,26100,34
2025-12-23 13:13:47,25200,31
2025-12-23 14:02:32,15300,22
2025-12-23 15:02:35,7200,16
2025-12-23 16:02:25,0,11
2025-12-23 17:03:28,1800,10
2025-12-23 18:03:35,0,4
2025-12-23 19:03:19,0,4
2025-12-23 20:02:20,900,8
2025-12-23 21:02:28,0,1
2025-12-23 22:02:25,0,2
2025-12-23 23:02:16,0,0
2025-12-24 00:10:12,0,1
2025-12-24 01:30:30,0,0
2025-12-24 02:34:04,0,1
2025-12-24 03:29:23,0,0
2025-12-24 04:12:52,0,0
2025-12-24 05:04:44,0,0
2025-12-24 06:03:37,0,0
2025-12-24 07:04:32,0,1
2025-12-24 08:03:26,0,1
2025-12-24 09:04:23,0,0
2025-12-24 10:02:24,0,0
2025-12-24 11:02:18,0,1
2025-12-24 12:03:45,0,0
2025-12-24 13:11:42,0,0
2025-12-24 14:02:18,0,2
2025-12-24 15:02:31,0,0
2025-12-24 16:03:10,0,0
2025-12-24 17:02:14,0,0
2025-12-24 18:03:28,0,0
2025-12-24 19:02:16,0,0
2025-12-24 20:02:19,0,0
2025-12-24 21:02:11,0,1
2025-12-24 22:02:11,0,0
2025-12-24 23:02:18,0,0
2025-12-25 00:10:02,0,0
2025-12-25 01:30:48,0,0
2025-12-25 02:36:22,0,0
2025-12-25 03:29:59,0,0
2025-12-25 04:14:21,0,0
2025-12-25 05:04:22,0,0
2025-12-25 06:03:33,0,0
2025-12-25 07:03:43,0,0
2025-12-25 08:03:20,0,0
2025-12-25 09:03:36,0,0
2025-12-25 10:02:28,0,0
2025-12-25 11:02:13,0,0
2025-12-25 12:03:41,0,0
2025-12-25 13:11:53,0,1
2025-12-25 14:02:13,0,0
2025-12-25 15:02:19,0,0
2025-12-25 16:02:46,0,2
2025-12-25 17:02:22,0,1
2025-12-25 18:03:20,0,0
2025-12-25 19:02:26,0,1
2025-12-25 20:02:25,0,0
2025-12-25 21:02:12,0,0
