checkpoint_time,wait_time,vehicles_in_queue
2024-04-03 15:33:33,1324800,2778
2024-04-03 16:02:17,1324320,2776
2024-04-03 17:01:54,1325760,2780
2024-04-03 18:02:03,1325280,2779
2024-04-03 19:02:02,1324800,2781
2024-04-03 20:02:15,1324320,2780
2024-04-03 21:02:04,1321920,2776
2024-04-03 22:02:10,1316640,2767
2024-04-03 23:02:16,1312320,2758
2024-04-04 01:23:49,1303680,2738
2024-04-04 02:08:59,1301760,2734
2024-04-04 03:02:11,1297920,2724
2024-04-04 04:02:29,1295520,2716
2024-04-04 05:02:08,1292640,2711
2024-04-04 06:02:17,1293600,2713
2024-04-04 07:02:13,1302720,2728
2024-04-04 08:02:04,1300800,2724
2024-04-04 09:02:19,1313760,2751
2024-04-04 10:02:18,1320000,2764
2024-04-04 11:01:50,1328160,2783
2024-04-04 12:02:49,1332960,2793
2024-04-04 13:02:34,1339200,2808
2024-04-04 14:03:01,1356000,2844
2024-04-04 15:01:55,1372320,2878
2024-04-04 16:02:02,1381440,2897
2024-04-04 17:02:04,1389600,2912
2024-04-04 18:02:15,1392000,2916
2024-04-04 19:02:13,1394400,2924
2024-04-04 20:01:59,1387200,2918
2024-04-04 21:02:07,1380000,2906
2024-04-04 22:01:54,1204560,2903
2024-04-04 23:02:02,1201620,2893
2024-04-05 00:06:50,1199520,2894
2024-04-05 01:23:03,1197420,2888
2024-04-05 02:08:13,1195320,2882
2024-04-05 03:02:11,1192380,2876
2024-04-05 04:02:07,1191960,2871
2024-04-05 05:02:05,1191960,2871
2024-04-05 06:02:13,1198680,2880
