checkpoint_time,wait_time,vehicles_in_queue
2025-03-24 14:02:16,75464,3
2025-03-24 15:02:19,86269,14
2025-03-24 16:02:34,105462,34
2025-03-24 17:02:17,129464,57
2025-03-24 18:02:37,141463,70
2025-03-24 19:02:06,160725,89
2025-03-24 20:02:20,169064,99
2025-03-24 21:02:19,171465,104
2025-03-24 22:02:07,187123,120
2025-03-24 23:02:21,188265,124
2025-03-25 00:08:55,186698,126
2025-03-25 01:29:29,181846,126
2025-03-25 02:28:29,179503,127
2025-03-25 03:13:33,179203,129
2025-03-25 04:02:45,176266,129
2025-03-25 05:02:15,173866,130
2025-03-25 06:02:52,175065,134
2025-03-25 07:02:20,183464,144
2025-03-25 08:02:46,178800,155
2025-03-25 09:02:23,159600,144
2025-03-25 10:02:25,170400,159
2025-03-25 11:02:05,171600,163
2025-03-25 12:03:26,183600,181
