checkpoint_time,wait_time,vehicles_in_queue
2025-06-11 07:02:22,213180,342
2025-06-11 08:03:04,217140,346
2025-06-11 09:02:50,221760,352
2025-06-11 10:02:30,226380,360
2025-06-11 11:02:19,221100,353
2025-06-11 12:03:45,221760,353
2025-06-11 13:12:00,228360,362
2025-06-11 14:02:14,225720,360
2025-06-11 15:02:20,224400,362
2025-06-11 16:02:34,225720,362
2025-06-11 17:02:15,214500,355
2025-06-11 18:03:01,212520,355
2025-06-11 19:02:07,210540,351
2025-06-11 20:02:02,211860,347
2025-06-11 21:02:24,211200,349
2025-06-11 22:02:05,248040,345
2025-06-11 23:02:03,249600,343
2025-06-12 00:09:32,250380,344
2025-06-12 01:29:58,255840,344
2025-06-12 02:32:08,255840,340
2025-06-12 03:22:46,258960,339
2025-06-12 04:06:30,258960,339
2025-06-12 05:02:25,261300,342
2025-06-12 06:03:14,262860,344
2025-06-12 07:02:25,272220,356
2025-06-12 08:03:07,279240,364
2025-06-12 09:02:28,287820,375
2025-06-12 10:02:28,289380,377
2025-06-12 11:02:10,295620,384
2025-06-12 12:03:49,303420,394
2025-06-12 13:11:41,306540,400
2025-06-12 14:02:11,308100,403
2025-06-12 15:02:25,315900,413
2025-06-12 16:02:39,325260,425
2025-06-12 17:02:26,333060,433
2025-06-12 18:03:03,336960,441
2025-06-12 19:02:07,338520,443
2025-06-12 20:02:29,345540,452
2025-06-12 21:02:31,353340,463
2025-06-12 22:02:14,434880,462
2025-06-12 23:02:20,436800,463
2025-06-13 00:09:30,436800,462
2025-06-13 01:30:07,433920,460
2025-06-13 02:32:25,431040,457
2025-06-13 03:23:57,427200,453
2025-06-13 04:06:44,427200,453
2025-06-13 05:02:21,432000,457
2025-06-13 06:03:06,429120,455
2025-06-13 07:02:19,452160,477
2025-06-13 08:02:58,460800,487
2025-06-13 09:02:33,460800,487
2025-06-13 10:02:32,460800,490
2025-06-13 11:02:15,457920,487
2025-06-13 12:03:28,460800,489
2025-06-13 13:11:02,465600,499
2025-06-13 14:02:22,473280,506
2025-06-13 15:02:29,475200,511
2025-06-13 16:02:22,486720,522
2025-06-13 17:02:03,479040,520
2025-06-13 18:02:57,477120,522
2025-06-13 19:02:10,476160,521
2025-06-13 20:02:39,475200,519
2025-06-13 21:02:08,477120,522
2025-06-13 22:02:10,478080,518
2025-06-13 23:02:14,473280,514
2025-06-14 00:09:11,473280,512
2025-06-14 01:29:59,462720,502
2025-06-14 02:31:12,456960,498
2025-06-14 03:20:42,459840,496
2025-06-14 04:03:48,459840,495
2025-06-14 05:02:17,462720,497
2025-06-14 06:03:00,461760,497
2025-06-14 07:02:14,462720,495
2025-06-14 08:02:43,469440,500
2025-06-14 09:02:07,466560,498
2025-06-14 10:02:16,460800,494
2025-06-14 11:02:03,462720,495
2025-06-14 12:03:05,458880,493
2025-06-14 13:08:09,448320,489
2025-06-14 14:02:03,441600,486
2025-06-14 15:02:13,436800,485
2025-06-14 16:02:20,438720,486
2025-06-14 17:01:59,445440,491
2025-06-14 18:02:26,449280,491
2025-06-14 19:01:52,456000,492
2025-06-14 20:02:21,452160,492
2025-06-14 21:02:07,449280,493
2025-06-14 22:02:06,441600,490
2025-06-14 23:02:15,442560,484
2025-06-15 00:10:34,447360,486
2025-06-15 01:30:25,451200,481
2025-06-15 02:38:36,452160,482
2025-06-15 03:28:07,451200,482
2025-06-15 04:08:33,455040,486
2025-06-15 05:02:21,457920,488
2025-06-15 06:02:56,460800,488
2025-06-15 07:02:15,458880,487
2025-06-15 08:02:42,464640,492
2025-06-15 09:02:21,467520,494
2025-06-15 10:02:08,458880,490
2025-06-15 11:02:07,459840,490
2025-06-15 12:03:18,460800,493
2025-06-15 13:08:19,454080,490
2025-06-15 14:01:56,455040,487
2025-06-15 15:02:12,452160,486
2025-06-15 16:02:14,447360,482
2025-06-15 17:02:07,439680,476
2025-06-15 18:02:37,437760,477
2025-06-15 19:02:04,441600,477
2025-06-15 20:02:18,434880,471
2025-06-15 21:02:08,432960,470
2025-06-15 22:02:10,438720,472
2025-06-15 23:02:14,438720,471
2025-06-16 00:09:58,436800,465
2025-06-16 01:30:33,433920,461
2025-06-16 02:34:58,429120,455
2025-06-16 03:27:02,432000,455
2025-06-16 04:09:42,426240,451
2025-06-16 05:03:31,420480,448
2025-06-16 06:03:26,412800,440
2025-06-16 07:03:02,423360,452
2025-06-16 08:03:03,431040,460
2025-06-16 09:03:13,442560,471
2025-06-16 10:02:32,444480,472
2025-06-16 11:02:09,441600,470
2025-06-16 12:03:55,441600,472
2025-06-16 13:12:22,444480,473
2025-06-16 14:02:24,439680,473
2025-06-16 15:02:36,446400,479
2025-06-16 16:02:33,452160,482
2025-06-16 17:02:37,456000,484
2025-06-16 18:02:57,461760,488
2025-06-16 19:02:03,457920,484
2025-06-16 20:02:27,458880,485
2025-06-16 21:02:20,460800,488
2025-06-16 22:02:17,457920,486
2025-06-16 23:02:15,457920,486
2025-06-17 00:09:32,452160,481
2025-06-17 01:30:08,442560,477
2025-06-17 02:32:52,430080,469
2025-06-17 03:23:58,423360,467
2025-06-17 04:07:23,418560,465
2025-06-17 05:02:19,412800,469
2025-06-17 06:03:02,411840,473
2025-06-17 07:02:34,415680,479
2025-06-17 08:03:05,425280,494
2025-06-17 09:03:15,440640,501
2025-06-17 10:02:22,444480,505
2025-06-17 11:02:21,456960,511
2025-06-17 12:03:27,476160,518
2025-06-17 13:12:16,477120,513
2025-06-17 14:02:25,482880,514
2025-06-17 15:02:25,487680,518
2025-06-17 16:02:33,491520,519
2025-06-17 17:02:53,496320,524
2025-06-17 18:03:06,499200,526
2025-06-17 19:02:08,496320,523
2025-06-17 20:02:37,490560,524
2025-06-17 21:02:21,492480,529
2025-06-17 22:02:18,480000,520
2025-06-17 23:02:08,479040,521
2025-06-18 00:09:19,475200,517
2025-06-18 01:29:59,462720,512
2025-06-18 02:32:17,458880,512
2025-06-18 03:23:23,461760,512
2025-06-18 04:07:19,456960,509
2025-06-18 05:02:49,456960,510
2025-06-18 06:03:08,462720,510
2025-06-18 07:02:51,482880,527
2025-06-18 08:03:04,482880,528
2025-06-18 09:02:48,483840,531
2025-06-18 10:02:16,492480,540
2025-06-18 11:02:15,493440,546
2025-06-18 12:03:58,498240,548
2025-06-18 13:12:10,307200,540
2025-06-18 14:02:29,302400,528
