checkpoint_time,wait_time,vehicles_in_queue
2024-12-20 09:02:19,127380,227
2024-12-20 10:02:20,132000,228
2024-12-20 11:02:08,128700,228
2024-12-20 12:03:13,124080,217
2024-12-20 13:05:54,114840,215
2024-12-20 14:02:12,104280,205
2024-12-20 15:02:22,103620,196
2024-12-20 16:02:24,101640,188
2024-12-20 17:02:13,92400,188
2024-12-20 18:02:35,90420,183
2024-12-20 19:02:03,87780,179
2024-12-20 20:02:20,80520,170
2024-12-20 21:02:04,81180,170
2024-12-20 22:02:08,78540,169
2024-12-20 23:02:07,77220,164
2024-12-21 00:07:55,86400,165
2024-12-21 01:28:59,82080,159
2024-12-21 02:22:23,81360,154
2024-12-21 03:04:27,83520,154
2024-12-21 04:02:20,84960,154
2024-12-21 05:02:09,87840,156
2024-12-21 06:02:22,85680,155
2024-12-21 07:02:01,90000,160
2024-12-21 08:02:23,98640,167
2024-12-21 09:02:02,100080,165
2024-12-21 10:02:06,84960,145
2024-12-21 11:01:48,79920,136
2024-12-21 12:02:59,82080,139
2024-12-21 13:04:23,84240,143
2024-12-21 14:02:05,84960,137
2024-12-21 15:02:04,87840,140
2024-12-21 16:02:08,74880,135
2024-12-21 17:02:10,69840,126
2024-12-21 18:02:19,66960,127
2024-12-21 19:01:56,67680,127
2024-12-21 20:02:19,67680,122
2024-12-21 21:02:13,56160,119
2024-12-21 22:02:06,56880,121
2024-12-21 23:02:09,51840,115
2024-12-22 00:08:57,52560,112
2024-12-22 01:29:22,49680,111
2024-12-22 02:26:54,47520,111
2024-12-22 03:09:00,41760,102
2024-12-22 04:02:23,41760,102
2024-12-22 05:02:18,43200,103
2024-12-22 06:02:28,43200,97
2024-12-22 07:02:08,37440,93
2024-12-22 08:02:24,36660,88
2024-12-22 09:02:12,34320,83
2024-12-22 10:02:15,35100,82
2024-12-22 11:01:48,31200,76
2024-12-22 12:03:03,30420,75
2024-12-22 13:04:33,16380,58
2024-12-22 14:02:01,8580,49
2024-12-22 15:02:03,6240,47
2024-12-22 16:02:06,4680,43
2024-12-22 17:02:15,4680,41
2024-12-22 18:02:21,780,36
