checkpoint_time,wait_time,vehicles_in_queue
2024-12-16 10:02:34,86264,0
2024-12-16 11:02:11,84410,4
2024-12-16 12:03:25,82363,8
2024-12-16 13:09:21,77984,7
2024-12-16 14:02:19,76065,10
2024-12-16 15:02:29,76666,20
2024-12-16 16:02:29,73904,22
2024-12-16 17:02:22,71565,25
2024-12-16 18:02:37,68385,26
2024-12-16 19:02:14,66045,29
2024-12-16 20:02:27,63706,32
2024-12-16 21:02:13,96225,33
2024-12-16 22:02:16,95563,35
2024-12-16 23:02:21,94965,37
2024-12-17 00:08:36,93993,39
2024-12-17 01:29:32,90641,40
2024-12-17 02:28:56,87097,40
2024-12-17 03:15:09,84345,40
2024-12-17 04:02:44,81459,40
2024-12-17 05:02:26,77867,40
2024-12-17 06:03:07,75767,41
2024-12-17 07:02:27,79666,46
2024-12-17 08:03:16,79005,48
2024-12-17 09:02:24,76965,49
2024-12-17 10:02:23,75000,57
2024-12-17 11:02:10,72000,61
2024-12-17 12:03:19,64500,59
2024-12-17 13:09:14,60000,58
2024-12-17 14:02:30,52500,57
2024-12-17 15:02:27,57000,59
2024-12-17 16:02:26,61500,60
2024-12-17 17:02:17,55500,58
2024-12-17 18:02:47,43500,53
2024-12-17 19:02:18,39000,48
2024-12-17 20:02:29,36000,46
2024-12-17 21:02:16,33000,45
2024-12-17 22:02:17,22500,40
2024-12-17 23:02:17,19500,40
2024-12-18 00:08:21,13500,36
2024-12-18 01:29:31,13500,34
2024-12-18 02:27:22,18000,33
2024-12-18 03:11:03,13500,31
2024-12-18 04:02:27,18000,30
2024-12-18 05:02:17,13500,29
2024-12-18 06:03:09,21000,31
2024-12-18 07:02:24,39000,38
2024-12-18 08:02:38,45000,43
2024-12-18 09:02:21,60000,51
2024-12-18 10:02:24,63000,54
2024-12-18 11:02:14,64500,62
2024-12-18 12:03:24,70500,64
2024-12-18 13:07:39,61500,64
2024-12-18 14:02:30,67500,68
2024-12-18 15:02:28,75000,71
2024-12-18 16:02:37,93000,80
2024-12-18 17:02:20,99000,86
2024-12-18 18:02:40,112500,92
2024-12-18 19:02:03,112500,92
2024-12-18 20:02:33,114000,94
2024-12-18 21:02:09,123000,99
2024-12-18 22:02:12,109500,94
2024-12-18 23:02:15,105000,93
2024-12-19 00:08:29,106500,92
2024-12-19 01:29:27,102000,88
2024-12-19 02:27:30,108000,87
2024-12-19 03:11:26,97500,80
2024-12-19 04:02:36,97500,77
2024-12-19 05:02:24,93000,74
2024-12-19 06:02:45,87000,72
2024-12-19 07:02:29,90000,73
2024-12-19 08:02:45,91500,73
2024-12-19 09:02:28,207900,75
2024-12-19 10:02:24,240900,85
2024-12-19 11:02:26,234300,87
2024-12-19 12:03:25,240900,87
2024-12-19 13:07:43,254100,89
2024-12-19 14:02:19,260700,95
2024-12-19 15:02:30,280500,98
2024-12-19 16:02:26,287100,97
2024-12-19 17:02:08,290400,98
2024-12-19 18:02:32,310200,103
2024-12-19 19:02:12,310200,102
2024-12-19 20:02:25,316800,108
2024-12-19 21:02:08,313500,108
2024-12-19 22:02:11,297000,105
2024-12-19 23:02:11,280500,101
2024-12-20 00:08:06,283800,99
2024-12-20 01:29:09,277200,98
2024-12-20 02:24:44,280500,99
2024-12-20 03:06:27,280500,99
2024-12-20 04:02:22,273900,97
2024-12-20 05:02:09,127980,93
2024-12-20 06:02:34,119880,86
2024-12-20 07:02:23,119880,88
2024-12-20 08:02:46,110160,84
2024-12-20 09:02:19,115020,88
2024-12-20 10:02:20,95580,79
2024-12-20 11:02:08,89100,78
2024-12-20 12:03:13,74520,70
2024-12-20 13:05:54,74520,73
2024-12-20 14:02:12,89100,79
2024-12-20 15:02:22,111780,91
2024-12-20 16:02:24,123120,100
2024-12-20 17:02:13,139320,107
2024-12-20 18:02:35,139320,104
2024-12-20 19:02:03,157140,114
2024-12-20 20:02:20,147420,115
2024-12-20 21:02:04,158760,118
2024-12-20 22:02:08,168480,122
2024-12-20 23:02:07,173340,126
