checkpoint_time,wait_time,vehicles_in_queue
2024-04-03 15:33:33,864000,10
2024-04-03 16:02:17,864000,10
2024-04-03 17:01:54,864000,10
2024-04-03 18:02:03,864000,10
2024-04-03 19:02:02,691200,8
2024-04-03 20:02:15,691200,8
2024-04-03 21:02:04,777600,9
2024-04-03 22:02:10,777600,9
2024-04-03 23:02:16,777600,9
2024-04-04 01:23:49,777600,9
2024-04-04 02:08:59,777600,9
2024-04-04 03:02:11,777600,9
2024-04-04 04:02:29,777600,9
2024-04-04 05:02:08,777600,9
2024-04-04 06:02:17,777600,9
2024-04-04 07:02:13,777600,9
2024-04-04 08:02:04,777600,9
2024-04-04 09:02:19,864000,10
2024-04-04 10:02:18,1036800,12
2024-04-04 11:01:50,1036800,12
2024-04-04 12:02:49,1036800,12
2024-04-04 13:02:34,950400,11
2024-04-04 14:03:01,950400,11
2024-04-04 15:01:55,950400,11
2024-04-04 16:02:02,1036800,12
2024-04-04 17:02:04,1209600,14
2024-04-04 18:02:15,1209600,14
