checkpoint_time,wait_time,vehicles_in_queue
2025-06-11 07:02:22,524160,1295
2025-06-11 08:03:04,549360,1345
2025-06-11 09:02:50,566160,1384
2025-06-11 10:02:30,567840,1389
2025-06-11 11:02:19,574980,1407
2025-06-11 12:03:45,586320,1429
2025-06-11 13:12:00,595560,1456
2025-06-11 14:02:14,602280,1471
2025-06-11 15:02:20,606060,1484
2025-06-11 16:02:34,616560,1511
2025-06-11 17:02:15,613200,1505
2025-06-11 18:03:01,617400,1517
2025-06-11 19:02:07,616980,1517
2025-06-11 20:02:02,610680,1508
2025-06-11 21:02:24,604800,1507
2025-06-11 22:02:05,597240,1496
2025-06-11 23:02:03,592200,1488
2025-06-12 00:09:32,585900,1480
2025-06-12 01:29:58,586320,1472
2025-06-12 02:32:08,583380,1465
2025-06-12 03:22:46,585480,1464
2025-06-12 04:06:30,584640,1459
2025-06-12 05:02:25,587160,1457
2025-06-12 06:03:14,591780,1472
2025-06-12 07:02:25,600600,1492
2025-06-12 08:03:07,612360,1518
2025-06-12 09:02:28,622440,1543
2025-06-12 10:02:28,630420,1558
2025-06-12 11:02:10,627900,1554
2025-06-12 12:03:49,630840,1558
2025-06-12 13:11:41,627480,1551
2025-06-12 14:02:11,628740,1557
2025-06-12 15:02:25,631680,1564
2025-06-12 16:02:39,631680,1567
2025-06-12 17:02:26,633780,1570
2025-06-12 18:03:03,637140,1578
2025-06-12 19:02:07,633780,1566
2025-06-12 20:02:29,627060,1558
2025-06-12 21:02:31,616560,1551
2025-06-12 22:02:14,617400,1554
2025-06-12 23:02:20,614460,1543
2025-06-13 00:09:30,614040,1541
2025-06-13 01:30:07,616980,1537
2025-06-13 02:32:25,616980,1531
2025-06-13 03:23:57,620760,1534
2025-06-13 04:06:44,615720,1526
2025-06-13 05:02:21,612360,1518
2025-06-13 06:03:06,621180,1532
2025-06-13 07:02:19,623700,1531
2025-06-13 08:02:58,630000,1546
2025-06-13 09:02:33,632100,1551
2025-06-13 10:02:32,629160,1546
2025-06-13 11:02:15,631680,1548
2025-06-13 12:03:28,632520,1550
2025-06-13 13:11:02,635040,1559
2025-06-13 14:02:22,638820,1567
2025-06-13 15:02:29,637140,1570
2025-06-13 16:02:22,634620,1566
2025-06-13 17:02:03,629160,1553
2025-06-13 18:02:57,628740,1551
2025-06-13 19:02:10,624540,1544
