checkpoint_time,wait_time,vehicles_in_queue
2025-03-11 10:02:21,0,4
2025-03-11 11:02:16,0,3
2025-03-11 12:03:16,0,2
2025-03-11 13:07:52,0,0
2025-03-11 14:02:19,0,3
2025-03-11 15:02:25,0,3
2025-03-11 16:02:33,0,2
2025-03-11 17:02:29,0,3
2025-03-11 18:02:41,4560,9
2025-03-11 19:02:12,14820,18
2025-03-11 20:02:16,12540,16
2025-03-11 21:02:05,11400,14
2025-03-11 22:02:06,4560,10
2025-03-11 23:01:59,1920,8
2025-03-12 00:08:24,1920,8
2025-03-12 01:29:19,0,5
2025-03-12 02:26:33,0,1
2025-03-12 03:09:40,0,4
2025-03-12 04:02:20,0,4
2025-03-12 05:02:15,0,3
2025-03-12 06:02:55,1920,7
2025-03-12 07:02:20,4800,7
2025-03-12 08:02:52,4800,8
2025-03-12 09:02:26,0,4
2025-03-12 10:02:17,0,5
2025-03-12 11:02:16,0,5
2025-03-12 12:03:24,0,5
2025-03-12 13:07:37,3840,10
2025-03-12 14:02:21,1920,7
2025-03-12 15:02:25,3780,8
2025-03-12 16:02:28,1920,8
2025-03-12 17:02:16,6720,12
2025-03-12 18:02:44,960,7
2025-03-12 19:02:07,2880,9
2025-03-12 20:02:21,5700,11
2025-03-12 21:02:08,0,4
2025-03-12 22:02:11,0,5
2025-03-12 23:02:09,0,4
2025-03-13 00:08:43,0,2
2025-03-13 01:29:21,0,1
2025-03-13 02:27:18,0,1
2025-03-13 03:10:51,0,1
2025-03-13 04:02:23,0,2
2025-03-13 05:02:15,0,0
2025-03-13 06:03:06,0,0
2025-03-13 07:02:10,2040,7
2025-03-13 08:02:43,0,4
2025-03-13 09:02:13,0,2
2025-03-13 10:02:18,0,2
2025-03-13 11:02:14,0,2
2025-03-13 12:03:28,0,3
2025-03-13 13:07:42,0,2
2025-03-13 14:02:16,0,2
2025-03-13 15:02:31,0,1
2025-03-13 16:02:30,0,1
2025-03-13 17:02:11,0,2
2025-03-13 18:03:00,0,3
2025-03-13 19:02:14,0,2
2025-03-13 20:02:22,0,7
2025-03-13 21:02:13,0,4
2025-03-13 22:02:08,0,2
2025-03-13 23:02:15,0,3
2025-03-14 00:08:14,0,3
2025-03-14 01:29:18,0,4
2025-03-14 02:26:23,0,2
2025-03-14 03:09:58,0,1
2025-03-14 04:02:24,0,2
2025-03-14 05:02:07,0,0
2025-03-14 06:02:59,0,1
2025-03-14 07:02:15,0,0
2025-03-14 08:02:56,0,1
2025-03-14 09:02:28,0,1
2025-03-14 10:02:22,0,1
2025-03-14 11:02:17,0,1
2025-03-14 12:03:14,0,2
2025-03-14 13:06:33,0,0
2025-03-14 14:02:13,0,2
2025-03-14 15:02:20,0,4
2025-03-14 16:02:20,0,3
2025-03-14 17:02:01,2040,7
2025-03-14 18:02:31,0,4
2025-03-14 19:02:07,0,4
2025-03-14 20:02:22,0,2
2025-03-14 21:02:04,0,2
2025-03-14 22:02:01,0,2
2025-03-14 23:02:08,0,2
2025-03-15 00:08:14,0,5
2025-03-15 01:29:13,0,3
2025-03-15 02:25:20,0,3
2025-03-15 03:08:24,0,3
2025-03-15 04:02:25,0,3
2025-03-15 05:02:13,0,3
2025-03-15 06:02:23,0,6
2025-03-15 07:02:09,5700,12
2025-03-15 08:02:23,6840,16
2025-03-15 09:02:11,7980,17
2025-03-15 10:02:15,7980,18
2025-03-15 11:01:55,11400,21
2025-03-15 12:03:01,12540,22
2025-03-15 13:04:54,21660,29
2025-03-15 14:03:01,33060,37
2025-03-15 15:01:53,35340,42
2025-03-15 16:01:59,39900,46
2025-03-15 17:02:03,25080,37
2025-03-15 18:02:22,13680,35
2025-03-15 19:01:58,11400,33
2025-03-15 20:02:14,3420,28
2025-03-15 21:02:00,1140,26
2025-03-15 22:02:08,0,23
2025-03-15 23:01:59,0,21
2025-03-16 00:09:16,0,20
2025-03-16 01:29:33,0,22
2025-03-16 02:28:46,0,21
2025-03-16 03:13:36,19380,21
2025-03-16 04:02:13,6840,26
2025-03-16 05:02:13,3420,27
2025-03-16 06:02:25,36480,55
2025-03-16 07:02:15,68400,82
2025-03-16 08:02:16,94620,110
2025-03-16 09:02:11,117420,129
2025-03-16 10:01:58,109440,127
2025-03-16 11:02:10,112860,128
2025-03-16 12:02:57,114000,130
2025-03-16 13:05:07,88920,123
2025-03-16 14:01:58,100320,127
2025-03-16 15:02:05,91200,116
2025-03-16 16:02:08,95760,111
2025-03-16 17:01:57,96900,105
2025-03-16 18:02:15,91200,97
2025-03-16 19:01:51,88920,93
2025-03-16 20:01:59,86640,91
2025-03-16 21:01:55,75240,82
2025-03-16 22:02:06,70680,80
2025-03-16 23:02:01,68040,74
2025-03-17 00:09:22,60480,71
2025-03-17 01:29:34,52920,65
2025-03-17 02:28:32,45360,61
2025-03-17 03:12:59,41580,59
2025-03-17 04:02:21,26460,53
2025-03-17 05:02:26,26460,51
2025-03-17 06:03:04,26460,49
2025-03-17 07:02:15,32760,50
2025-03-17 08:02:55,34020,50
2025-03-17 09:02:32,39060,51
2025-03-17 10:02:27,45360,54
2025-03-17 11:02:13,49140,55
2025-03-17 12:03:25,51660,55
2025-03-17 13:08:16,55440,57
2025-03-17 14:02:21,56700,56
2025-03-17 15:02:25,56700,56
2025-03-17 16:02:52,61740,56
2025-03-17 17:02:04,73080,65
2025-03-17 18:02:38,75600,74
2025-03-17 19:02:13,57960,69
2025-03-17 20:02:24,35280,62
2025-03-17 21:02:09,22680,59
2025-03-17 22:02:04,12600,56
2025-03-17 23:02:21,14280,54
2025-03-18 00:08:24,12240,51
2025-03-18 01:29:28,0,37
2025-03-18 02:27:57,0,35
2025-03-18 03:12:20,20160,33
2025-03-18 04:02:27,3060,32
2025-03-18 05:02:19,6120,31
