checkpoint_time,wait_time,vehicles_in_queue
2024-04-03 15:33:33,1212480,1280
2024-04-03 16:02:17,1218240,1281
2024-04-03 17:01:54,1224960,1283
2024-04-03 18:02:03,1226880,1286
2024-04-03 19:02:02,1220160,1286
2024-04-03 20:02:15,1222080,1282
2024-04-03 21:02:04,1225920,1284
2024-04-03 22:02:10,1215360,1285
2024-04-03 23:02:16,1290300,1273
2024-04-04 01:23:49,1269900,1260
2024-04-04 02:08:59,1268880,1248
2024-04-04 03:02:11,1253580,1242
2024-04-04 04:02:29,1250520,1241
2024-04-04 05:02:08,1252560,1241
2024-04-04 06:02:17,1250520,1240
