checkpoint_time,wait_time,vehicles_in_queue
2026-07-22 08:10:30,0,0
2026-07-22 10:59:08,0,0
2026-07-22 12:25:31,1920,4
2026-07-22 14:57:24,1920,3
2026-07-22 16:17:38,0,3
2026-07-22 18:03:03,0,2
2026-07-22 20:07:09,960,2
2026-07-22 21:58:07,960,2
2026-07-22 23:02:15,0,0
2026-07-23 01:59:06,0,0
2026-07-23 05:27:04,0,0
2026-07-23 08:13:30,0,2
2026-07-23 11:01:15,2880,5
2026-07-23 13:27:07,960,4
2026-07-23 15:47:46,0,0
2026-07-23 17:09:46,0,0
2026-07-23 19:00:45,0,0
2026-07-23 20:52:25,0,0
2026-07-23 21:57:45,0,0
2026-07-23 22:54:24,0,0
2026-07-23 23:53:08,0,0
2026-07-24 01:54:36,0,1
2026-07-24 05:13:12,0,0
2026-07-24 08:09:50,0,0
2026-07-24 10:54:34,0,3
2026-07-24 12:13:19,0,0
2026-07-24 14:46:03,0,0
2026-07-24 18:11:43,0,0
2026-07-24 20:11:45,0,0
2026-07-24 21:56:45,0,1
2026-07-24 22:57:21,0,0
2026-07-25 00:02:18,0,0
2026-07-25 03:57:00,0,1
2026-07-25 06:13:42,0,0
2026-07-25 09:53:10,0,0
2026-07-25 10:20:45,0,0
2026-07-25 11:57:14,0,1
2026-07-25 13:18:41,0,1
2026-07-25 14:54:57,0,1
2026-07-25 15:57:33,0,0
2026-07-25 16:53:59,0,1
2026-07-25 17:51:40,0,0
2026-07-25 18:54:32,0,0
2026-07-25 20:06:44,0,1
2026-07-25 21:44:20,0,0
2026-07-25 22:43:48,0,0
2026-07-25 23:52:35,0,0
2026-07-26 01:58:03,0,0
2026-07-26 05:31:24,0,0
2026-07-26 08:10:11,0,3
2026-07-26 10:35:53,960,4
2026-07-26 11:56:01,960,6
2026-07-26 13:02:31,1920,7
2026-07-26 14:56:28,960,5
2026-07-26 15:57:30,960,3
2026-07-26 16:57:15,0,1
2026-07-26 17:59:03,0,0
2026-07-26 19:13:39,0,0
2026-07-26 20:46:58,0,0
2026-07-26 21:51:00,0,0
2026-07-26 22:51:22,0,1
2026-07-26 23:52:54,0,0
2026-07-27 02:05:56,0,0
2026-07-27 06:18:28,0,0
2026-07-27 10:33:03,0,1
2026-07-27 13:32:17,0,1
2026-07-27 16:08:09,0,1
2026-07-27 18:18:10,0,3
2026-07-27 20:14:25,0,0
2026-07-27 21:57:11,0,0
2026-07-27 22:57:26,0,1
2026-07-27 23:59:39,0,0
2026-07-28 02:47:28,0,1
2026-07-28 05:38:32,0,2
2026-07-28 08:17:22,0,0
2026-07-28 11:09:36,0,1
2026-07-28 13:43:20,1020,9
2026-07-28 15:58:40,1020,12
2026-07-28 17:34:48,0,7
2026-07-28 19:10:00,0,6
2026-07-28 20:59:44,2040,8
2026-07-28 22:06:42,0,7
2026-07-28 23:52:17,0,0
2026-07-29 01:49:46,0,2
2026-07-29 05:12:49,6120,9
2026-07-29 08:23:22,1020,7
2026-07-29 11:14:39,0,0
2026-07-29 13:48:43,1080,5
2026-07-29 15:44:19,1080,9
2026-07-29 17:05:21,2160,10
2026-07-29 18:59:35,2160,9
2026-07-29 20:13:23,0,8
2026-07-29 21:51:44,0,7
2026-07-29 22:52:45,0,6
2026-07-29 23:54:10,2160,8
2026-07-30 01:42:39,1080,16
2026-07-30 04:49:57,1080,16
2026-07-30 07:28:31,0,14
