checkpoint_time,wait_time,vehicles_in_queue
2025-03-25 08:02:46,0,9
2025-03-25 09:02:23,0,7
2025-03-25 10:02:25,0,4
2025-03-25 11:02:05,0,7
2025-03-25 12:03:26,3180,15
2025-03-25 13:08:06,0,8
2025-03-25 14:02:27,0,11
2025-03-25 15:02:18,2160,14
2025-03-25 16:02:39,0,7
2025-03-25 17:02:18,0,8
2025-03-25 18:02:53,0,10
2025-03-25 19:02:07,0,4
2025-03-25 20:02:31,0,6
2025-03-25 21:02:09,0,9
2025-03-25 22:02:09,0,6
2025-03-25 23:02:10,0,6
2025-03-26 00:08:43,1080,7
2025-03-26 01:29:30,0,8
2025-03-26 02:27:55,0,8
2025-03-26 03:12:22,0,1
2025-03-26 04:02:52,0,1
2025-03-26 05:02:17,0,2
2025-03-26 06:02:54,0,9
2025-03-26 07:02:25,0,12
2025-03-26 08:02:51,15960,26
2025-03-26 09:02:25,22800,33
2025-03-26 10:02:23,38760,47
2025-03-26 11:02:08,41040,50
2025-03-26 12:03:20,44460,53
2025-03-26 13:08:43,52440,62
2025-03-26 14:02:31,53580,63
