checkpoint_time,wait_time,vehicles_in_queue
2025-06-11 07:02:22,10560,43
2025-06-11 08:03:04,18240,59
2025-06-11 09:02:50,21600,65
2025-06-11 10:02:30,19680,62
2025-06-11 11:02:19,21600,66
2025-06-11 12:03:45,9120,48
2025-06-11 13:12:00,8160,47
2025-06-11 14:02:14,0,28
2025-06-11 15:02:20,1920,33
2025-06-11 16:02:34,2880,32
2025-06-11 17:02:15,8160,40
2025-06-11 18:03:01,2400,28
2025-06-11 19:02:07,3360,31
2025-06-11 20:02:02,480,7
2025-06-11 21:02:24,0,14
2025-06-11 22:02:05,0,7
2025-06-11 23:02:03,1440,10
2025-06-12 00:09:32,960,8
2025-06-12 01:29:58,1920,10
2025-06-12 02:32:08,5280,16
2025-06-12 03:22:46,0,8
2025-06-12 04:06:30,0,8
2025-06-12 05:02:25,2400,12
2025-06-12 06:03:14,6720,21
2025-06-12 07:02:25,6720,35
2025-06-12 08:03:07,2880,25
2025-06-12 09:02:28,0,14
2025-06-12 10:02:28,0,13
2025-06-12 11:02:10,960,21
2025-06-12 12:03:49,0,13
2025-06-12 13:11:41,0,18
2025-06-12 14:02:11,0,14
2025-06-12 15:02:25,0,18
2025-06-12 16:02:39,2880,18
2025-06-12 17:02:26,7200,27
2025-06-12 18:03:03,4320,29
2025-06-12 19:02:07,0,19
2025-06-12 20:02:29,0,21
2025-06-12 21:02:31,960,16
2025-06-12 22:02:14,0,12
2025-06-12 23:02:20,0,8
2025-06-13 00:09:30,480,4
2025-06-13 01:30:07,0,7
2025-06-13 02:32:25,0,2
2025-06-13 03:23:57,0,9
2025-06-13 04:06:44,0,8
2025-06-13 05:02:21,960,8
2025-06-13 06:03:06,0,22
2025-06-13 07:02:19,480,14
2025-06-13 08:02:58,2400,29
2025-06-13 09:02:33,12480,53
2025-06-13 10:02:32,23520,76
2025-06-13 11:02:15,33600,96
2025-06-13 12:03:28,37440,106
2025-06-13 13:11:02,36960,116
2025-06-13 14:02:22,38400,128
2025-06-13 15:02:29,33600,121
2025-06-13 16:02:22,31200,121
2025-06-13 17:02:03,34560,126
2025-06-13 18:02:57,29280,109
2025-06-13 19:02:10,36000,123
2025-06-13 20:02:39,67680,182
2025-06-13 21:02:08,89280,235
2025-06-13 22:02:10,102720,260
2025-06-13 23:02:14,93120,246
2025-06-14 00:09:11,95520,249
2025-06-14 01:29:59,90240,230
2025-06-14 02:31:12,90240,220
2025-06-14 03:20:42,87360,220
2025-06-14 04:03:48,91200,227
