checkpoint_time,wait_time,vehicles_in_queue
2025-03-11 09:02:30,3463,0
2025-03-11 10:02:21,0,0
2025-03-11 11:02:16,0,0
2025-03-11 12:03:16,0,0
2025-03-11 13:07:52,0,0
2025-03-11 14:02:19,0,0
2025-03-11 15:02:25,0,0
2025-03-11 16:02:33,0,0
2025-03-11 17:02:29,0,0
2025-03-11 18:02:41,0,0
2025-03-11 19:02:12,0,0
2025-03-11 20:02:16,0,0
2025-03-11 21:02:05,0,0
2025-03-11 22:02:06,0,0
2025-03-11 23:01:59,0,0
2025-03-12 00:08:24,0,0
2025-03-12 01:29:19,0,0
2025-03-12 02:26:33,0,0
2025-03-12 03:09:40,0,0
2025-03-12 04:02:20,0,0
2025-03-12 05:02:15,0,0
2025-03-12 06:02:55,0,0
2025-03-12 07:02:20,0,0
2025-03-12 08:02:52,0,0
2025-03-12 09:02:26,0,0
2025-03-12 10:02:17,0,0
2025-03-12 11:02:16,0,0
2025-03-12 12:03:24,0,0
2025-03-12 13:07:37,0,0
2025-03-12 14:02:21,0,0
2025-03-12 15:02:25,0,0
2025-03-12 16:02:28,0,0
2025-03-12 17:02:16,0,0
2025-03-12 18:02:44,0,0
2025-03-12 19:02:07,0,0
