checkpoint_time,wait_time,vehicles_in_queue
2025-03-11 10:02:21,187800,372
2025-03-11 11:02:16,176400,358
2025-03-11 12:03:16,179400,362
2025-03-11 13:07:52,172800,355
2025-03-11 14:02:19,166200,347
2025-03-11 15:02:25,150000,336
2025-03-11 16:02:33,147000,324
2025-03-11 17:02:29,141600,308
2025-03-11 18:02:41,138000,298
2025-03-11 19:02:12,139800,295
2025-03-11 20:02:16,129000,282
2025-03-11 21:02:05,133200,281
2025-03-11 22:02:06,120600,273
2025-03-11 23:01:59,112800,268
2025-03-12 00:08:24,109800,257
2025-03-12 01:29:19,111600,248
2025-03-12 02:26:33,114600,247
2025-03-12 03:09:40,118200,241
2025-03-12 04:02:20,111600,234
2025-03-12 05:02:15,102600,215
2025-03-12 06:02:55,105000,216
2025-03-12 07:02:20,100800,209
2025-03-12 08:02:52,97200,205
2025-03-12 09:02:26,82800,185
2025-03-12 10:02:17,84600,187
2025-03-12 11:02:16,65400,164
2025-03-12 12:03:24,65400,166
2025-03-12 13:07:37,59400,154
2025-03-12 14:02:21,55800,150
2025-03-12 15:02:25,46200,138
2025-03-12 16:02:28,44400,132
2025-03-12 17:02:16,27600,122
2025-03-12 18:02:44,28200,118
2025-03-12 19:02:07,27600,112
2025-03-12 20:02:21,31200,112
2025-03-12 21:02:08,28200,98
2025-03-12 22:02:11,21000,92
2025-03-12 23:02:09,14400,79
2025-03-13 00:08:43,12600,72
2025-03-13 01:29:21,18000,71
2025-03-13 02:27:18,9600,61
2025-03-13 03:10:51,13200,61
2025-03-13 04:02:23,13200,59
2025-03-13 05:02:15,9000,44
2025-03-13 06:03:06,12600,48
2025-03-13 07:02:10,16800,54
2025-03-13 08:02:43,10200,49
2025-03-13 09:02:13,6600,35
2025-03-13 10:02:18,3600,35
2025-03-13 11:02:14,4800,29
2025-03-13 12:03:28,600,27
2025-03-13 13:07:42,1200,28
2025-03-13 14:02:16,0,22
2025-03-13 15:02:31,600,24
2025-03-13 16:02:30,0,20
2025-03-13 17:02:11,600,19
2025-03-13 18:03:00,600,18
2025-03-13 19:02:14,0,14
2025-03-13 20:02:22,2400,17
2025-03-13 21:02:13,3600,21
2025-03-13 22:02:08,0,11
2025-03-13 23:02:15,0,10
2025-03-14 00:08:14,0,10
2025-03-14 01:29:18,0,12
2025-03-14 02:26:23,0,10
2025-03-14 03:09:58,0,9
2025-03-14 04:02:24,0,7
2025-03-14 05:02:07,0,6
2025-03-14 06:02:59,0,7
2025-03-14 07:02:15,540,6
2025-03-14 08:02:56,2700,11
2025-03-14 09:02:28,0,14
2025-03-14 10:02:22,0,16
2025-03-14 11:02:17,540,6
2025-03-14 12:03:14,0,8
2025-03-14 13:06:33,1080,8
2025-03-14 14:02:13,0,6
2025-03-14 15:02:20,4320,12
2025-03-14 16:02:20,540,17
2025-03-14 17:02:01,0,26
2025-03-14 18:02:31,4860,32
2025-03-14 19:02:07,3240,47
2025-03-14 20:02:22,3780,56
2025-03-14 21:02:04,3240,63
2025-03-14 22:02:01,1680,68
2025-03-14 23:02:08,4200,70
2025-03-15 00:08:14,1200,65
2025-03-15 01:29:13,1800,59
2025-03-15 02:25:20,4800,61
2025-03-15 03:08:24,0,50
2025-03-15 04:02:25,600,46
2025-03-15 05:02:13,9000,57
2025-03-15 06:02:23,42000,105
2025-03-15 07:02:09,102600,219
2025-03-15 08:02:23,141000,274
2025-03-15 09:02:11,152400,296
2025-03-15 10:02:15,159000,312
2025-03-15 11:01:55,167400,326
2025-03-15 12:03:01,175200,332
2025-03-15 13:04:54,170400,336
2025-03-15 14:03:01,163200,337
2025-03-15 15:01:53,169800,340
2025-03-15 16:01:59,175800,346
2025-03-15 17:02:03,180600,344
2025-03-15 18:02:22,183600,348
2025-03-15 19:01:58,173400,341
2025-03-15 20:02:14,172800,346
2025-03-15 21:02:00,158400,336
2025-03-15 22:02:08,157200,336
2025-03-15 23:01:59,156000,329
2025-03-16 00:09:16,161400,328
2025-03-16 01:29:33,159600,318
2025-03-16 02:28:46,154800,309
2025-03-16 03:13:36,156600,307
2025-03-16 04:02:13,154800,304
2025-03-16 05:02:13,157200,306
2025-03-16 06:02:25,160200,311
2025-03-16 07:02:15,164400,305
2025-03-16 08:02:16,161400,299
2025-03-16 09:02:11,166200,303
2025-03-16 10:01:58,164400,304
2025-03-16 11:02:10,161400,300
2025-03-16 12:02:57,161400,300
2025-03-16 13:05:07,162000,301
2025-03-16 14:01:58,160800,291
2025-03-16 15:02:05,163200,295
2025-03-16 16:02:08,166200,293
2025-03-16 17:01:57,166800,289
2025-03-16 18:02:15,164400,286
2025-03-16 19:01:51,162600,285
2025-03-16 20:01:59,158400,279
2025-03-16 21:01:55,154200,273
2025-03-16 22:02:06,154200,272
2025-03-16 23:02:01,155400,267
2025-03-17 00:09:22,145200,254
2025-03-17 01:29:34,145200,252
2025-03-17 02:28:32,139800,242
2025-03-17 03:12:59,135600,238
2025-03-17 04:02:21,132600,233
2025-03-17 05:02:26,129600,233
2025-03-17 06:03:04,129600,233
2025-03-17 07:02:15,130800,233
2025-03-17 08:02:55,129000,231
2025-03-17 09:02:32,129600,229
2025-03-17 10:02:27,132000,235
2025-03-17 11:02:13,130800,237
2025-03-17 12:03:25,134400,237
2025-03-17 13:08:16,136800,238
2025-03-17 14:02:21,136200,244
2025-03-17 15:02:25,138000,245
2025-03-17 16:02:52,144000,255
2025-03-17 17:02:04,139800,248
2025-03-17 18:02:38,145800,257
2025-03-17 19:02:13,146400,257
2025-03-17 20:02:24,149400,259
2025-03-17 21:02:09,144600,255
2025-03-17 22:02:04,142800,249
2025-03-17 23:02:21,140400,250
2025-03-18 00:08:24,145200,238
2025-03-18 01:29:28,145200,238
